Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound,ThompsonSampling,PHE
0,0.5415446159450628,0.3913502935383789,0.6022144087168848,0.6022144087168848,0.6022144087168848
1,0.9450340865879987,0.7959801424757027,1.08604468521735,1.08604468521735,1.08604468521735
2,1.4724346093541865,1.2744113068774396,1.8127442051154794,1.8127442051154794,1.8127442051154794
3,1.766723925208955,1.658853756520514,2.175510867907476,2.175510867907476,2.175510867907476
4,2.001561703766712,2.028719421229033,2.7669616962673365,2.7669616962673365,2.7669616962673365
5,2.428753665057217,2.5443673517946546,3.586781639459202,3.586781639459202,3.586781639459202
6,2.6519479020394217,2.816255139189316,4.001929449860134,4.001929449860134,4.001929449860134
7,2.841995864298133,3.1963408079712217,4.588903726932531,4.588903726932531,4.588903726932531
8,3.2542272301304775,3.505599408001938,5.167136614671416,5.167136614671416,5.167136614671416
9,3.6358738342996757,3.749743147200482,5.544915471902563,5.544915471902563,5.544915471902563
