Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound,ThompsonSampling
0,0.5524507543442143,0.6386869126769128,0.4933723788655904,0.4933723788655904
1,1.0973177589604655,1.1289695832521949,1.255171703632618,1.255171703632618
2,1.317380560796185,1.8551408270908616,1.727140914680137,1.727140914680137
3,1.6364565324085873,2.3783115371130665,2.457995259186348,2.457995259186348
4,1.8570340326361794,2.949005828781952,3.0869839731663764,3.0869839731663764
5,2.287182619598778,3.489914222114013,3.6840999589999726,3.6840999589999726
6,2.694005033720846,3.9607987945588263,4.326912973929275,4.326912973929275
7,2.803772183856265,4.540263656666609,4.921203475657835,4.921203475657835
8,3.074106505866553,4.942214644815788,5.427593425657771,5.427593425657771
9,3.3571853177551225,5.397132792839242,5.956723794476026,5.956723794476026
10,3.8400162776784583,5.738078037203536,6.15062236013447,6.15062236013447
11,4.237422867785653,6.111557231775722,6.346693582953157,6.340651398502334
12,4.439051691551803,6.34912068692413,6.5567311758223195,6.544646806920673
13,4.749063685451897,6.682191679845053,6.758735427105013,6.741088518345899
14,4.96196875796961,7.016038887381299,6.954200158516459,6.9481579740656345
15,5.2527036132700005,7.216562930215424,7.149664889927903,7.15522742978537
16,5.6802971403797216,7.559554138527299,7.345129621339349,7.347618113895419
17,5.977993273515751,7.84651965346602,7.540594352750794,7.540008798005468
18,6.235612987174604,8.106532063041438,7.73605908416224,7.732399482115516
19,6.348657598056157,8.414621567962183,7.931523815573685,7.936394890533856
20,6.491238794259694,8.734850978376608,8.12698854698513,8.128785574643905
21,6.78874596662705,9.021731360021446,8.322453278396576,8.321176258753955
22,6.870914870317644,9.473258005547034,8.517918009808021,8.513566942864003
23,7.184094975422148,9.805231801415372,8.713382741219466,8.705957626974051
24,7.4771507712580485,10.051274632655035,8.908847472630912,8.898348311084101
25,7.760411297735681,10.352105155413145,9.104312204042357,9.09073899519415
26,7.965445661236002,10.557657233701121,9.299776935453803,9.2831296793042
27,8.32500615123518,10.795757765544083,9.495241666865248,9.475520363414248
28,8.547233742093034,11.199949049794489,9.690706398276692,9.667911047524296
29,8.726911836416852,11.516360554193538,9.886171129688138,9.860301731634346
30,8.933902485976557,11.769191525751383,10.081635861099583,10.052692415744394
31,9.035855272335763,12.200438488941383,10.27710059251103,10.245083099854444
32,9.252704945698142,12.421745819284393,10.472565323922474,10.437473783964492
33,9.568925553302192,12.630066618533878,10.668030055333919,10.62986446807454
