Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9605565307914681
1,0.9437039092225602
2,0.8920149559380925
3,0.8641763565948825
4,0.849871646278514
5,0.7906622715592942
6,0.7763978484095991
7,0.7389554530497641
8,0.7026428489487055
9,0.7033033824016776
