Time(Iteration),EpsilonGreedyLinearBandit,LinUCB,LinTS,LinPHE
0,0.4123499982669235,0.44196476129369133,0.44196476129369133,0.44196476129369133
1,1.1004880981704992,0.9778587615513855,0.9778587615513855,0.8269192310548972
2,1.718129679722881,1.5869868451254776,1.5869868451254776,1.377929010218897
3,2.214146062304672,2.27945796627099,2.27945796627099,1.9108218864823663
4,2.5507704372992555,2.7864671397405867,2.7864671397405867,2.4977712087907546
5,2.9206480058464126,3.198423815068056,3.198423815068056,2.869844297956875
6,3.2826519559838516,3.7171121562600966,3.7171121562600966,3.5778268671719333
7,3.4932313480505095,4.277170901842645,4.277170901842645,4.074033663387603
8,3.843757788734701,4.818341737333553,4.818341737333553,4.678278667406112
9,4.0480573350327465,5.3557972633101505,5.3557972633101505,5.084985572305982
10,4.570948212513703,5.4926892678775605,5.377438396069271,5.752221994470267
11,4.841735232845056,5.6296924647327335,5.415648932583952,6.287941625022908
12,5.047036271869901,5.6651828784510645,5.444996477081025,7.040576359107855
13,5.283306825234809,5.704053380175361,5.484345019210378,7.660330030404718
14,5.53814138982674,5.746041173158269,5.513692563707452,8.305774690288729
15,5.64136157068862,5.781227480863107,5.5537483553192235,8.937829232304765
16,5.799745528410412,5.795190350014062,5.583095899816296,9.443642950843383
17,5.973288388730369,5.806434919268112,5.623151691428068,9.965115161262421
18,6.289302352187893,5.831343515545253,5.6524992359251405,10.805459531837927
19,6.575127533569008,5.848935529617135,5.681846780422214,11.218907138399185
20,6.676245091574058,5.864476469140225,5.711194324919287,11.914242245393945
21,6.849016106169013,5.88645591095991,5.740560187639911,12.480223897179549
22,6.989665795228085,5.906384278230802,5.767177028125317,13.043150121534211
23,7.011443807399867,5.926312645501694,5.793793868610724,13.70185049905486
24,7.206354619955976,5.955292536151149,5.82041070909613,14.331917842044158
25,7.318641138088964,5.973564179685906,5.8470275495815365,14.333614934384764
26,7.40701445909433,5.991835823220662,5.873644390066943,14.33531202672537
27,7.64496406280948,6.011764190491554,5.900261230552349,14.337009119065977
28,7.890773653908011,6.0316925577624465,5.9268780710377555,14.338706211406583
29,8.069368792924699,6.049964201297203,5.953494911523162,14.34040330374719
30,8.201964237139297,6.06171675233887,5.980111752008568,14.342100396087796
31,8.33653292385315,6.073469303380537,6.006728592493975,14.343797488428402
32,8.442222070968857,6.085221854422204,6.033345432979381,14.345494580769008
33,8.511017970044964,6.098631129200006,6.059962273464787,14.347191673109615
34,8.645961340504716,6.108132210627515,6.086579113950194,14.348888765450221
35,8.798457152997006,6.117633292055023,6.1131959544356,14.350585857790827
36,9.043021695829168,6.127134373482532,6.139812794921006,14.352282950131434
37,9.411033281804356,6.13663545491004,6.166429635406413,14.35398004247204
38,9.575332551990297,6.146136536337549,6.193046475891819,14.355677134812646
39,9.699063532901972,6.155637617765057,6.2196633163772255,14.357374227153253
