Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound,ThompsonSampling,PHE
0,0.3354118846257085,0.5544634974342555,0.4779219339381987,0.4779219339381987,0.4779219339381987
1,0.7452748221745908,0.9101152398269672,0.9929413197570103,0.9929413197570103,0.9929413197570103
2,1.0997976544428492,1.312214089426394,1.4773776540238184,1.4773776540238184,1.4773776540238184
3,1.529973523456492,1.7156020551573987,2.021900428378847,2.021900428378847,2.021900428378847
4,1.9749024858341997,1.979405561668655,2.520417279282702,2.520417279282702,2.520417279282702
5,2.308375744323049,2.451227684016662,2.998101573579601,2.998101573579601,2.998101573579601
6,2.6516902159434865,2.7021569664177014,3.536650851209589,3.536650851209589,3.536650851209589
7,2.932203444684469,3.0835888975618513,4.020194711274496,4.020194711274496,4.020194711274496
8,3.151082238646291,3.287003944860151,4.655815138827829,4.655815138827829,4.655815138827829
9,3.51175833795399,3.6791481749681254,5.088291863828664,5.088291863828664,5.088291863828664
