Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta,LinTSTheta,LinPHETheta
0,0.9363248146477539,0.931708055074005,0.931708055074005,0.931708055074005
1,0.8975272074260825,0.9125646284450131,0.9125646284450131,0.9241371975223789
2,0.8537174170171324,0.8791415853916906,0.8791415853916906,0.8293181077860087
3,0.8255046841344834,0.8278686078696176,0.8278686078696176,0.7949743182352906
4,0.7866160976053529,0.7984983460358611,0.7984983460358611,0.7807228583760664
5,0.7543839003979732,0.7237206267791869,0.7237206267791869,0.7702800060182016
6,0.7291629013650758,0.700896275022856,0.700896275022856,0.7023851490292043
7,0.6850000123797726,0.650873161648549,0.650873161648549,0.6208187365975644
8,0.6451200177963582,0.5813360505479036,0.5813360505479036,0.5302103975006418
9,0.6312085574321621,0.5025963613192037,0.5025963613192037,0.49701328115471577
10,0.6056500648288236,0.4967266139815799,0.4985113209743779,0.48050370527901565
11,0.582698989103523,0.4693360478520668,0.4977204566996047,0.4886630985061031
12,0.5300709803022638,0.46691983432338374,0.495207685545497,0.4356605722030869
13,0.5159327305415672,0.44274794991925737,0.49432589997573845,0.4034116422639726
14,0.5062218866115689,0.4277347344841952,0.4935398637920567,0.38694834980240167
15,0.49015619264573074,0.4271395177344308,0.4924441226541999,0.3673530762417778
16,0.4665328575672376,0.42425062098975286,0.4891720036463167,0.3508053302279177
17,0.46234873527494835,0.4232713282460697,0.4892294643777266,0.3423048330674135
18,0.45969610589113435,0.4228413972388684,0.4893701393631564,0.32497950307749573
19,0.43728889971499996,0.4209514626272157,0.4883473621317177,0.32976726986578236
20,0.4278550321546847,0.42097539899624953,0.48880794153772616,0.3144846575539939
21,0.4086850429851926,0.4263444940458879,0.4884602488119806,0.31082090186676
22,0.4056662029962217,0.42068351794317793,0.48868715120260287,0.29965477774326904
23,0.3895495060921407,0.41919994050634884,0.489083694641567,0.2841983912224674
24,0.3842326166427193,0.41526798436865464,0.4890457078199738,0.28066310508957615
25,0.3830742840410361,0.4148036886343666,0.4883010290839426,0.28639110538097023
26,0.379384258647585,0.4154566122408812,0.48813944943415966,0.2887987087386332
27,0.3681673465254423,0.4150917178684278,0.48816977968446656,0.2830728179704058
28,0.3593071833775021,0.4162732592083871,0.4884810869846482,0.2835259988987723
29,0.36378793683827376,0.4147496856530541,0.48843858219745184,0.2790880278330269
30,0.35936847499547914,0.4167515683298785,0.4889051655934131,0.27779109560903054
31,0.36952065330235095,0.41866436431995424,0.48920853963085975,0.2838654619203974
32,0.3699184602578846,0.41798534714938695,0.48884668127778097,0.283224738198662
33,0.35827741430046733,0.41845968030433206,0.4888604536644734,0.2828885105400122
34,0.36158967418889687,0.41931833893324644,0.488910600484342,0.2829015365509519
35,0.3592897610433837,0.41819380405557255,0.48879824608773514,0.28091117662020776
36,0.3574497307612726,0.41822608395222083,0.4888439608559153,0.2812576293337493
37,0.3568339776279141,0.4180832589484407,0.4887107873263611,0.28045625468732915
38,0.3568125562098074,0.4184433097855916,0.4889876654927562,0.28029749146707184
39,0.3415221067249436,0.41743379013486426,0.4888077048146342,0.27822815254845995
40,0.3398292902610448,0.41672926884202754,0.4886037092343668,0.2775655922095702
41,0.33640706481203186,0.4178901498870863,0.48890330546739075,0.2780075174292655
42,0.33599478098819074,0.4192216602043436,0.48920509172490095,0.27737520626432727
43,0.33531811562879027,0.41906051893235546,0.48904608496438556,0.2775877716374036
44,0.3338098028445443,0.4190131332060381,0.4891643518633651,0.27750607513260567
45,0.3364994439819079,0.41993263372256334,0.4894562621792272,0.2779854613396336
46,0.3339539151495362,0.41924237696389516,0.48934947512638793,0.27726381645576575
47,0.3337908035764397,0.41948290938029836,0.4892916061906896,0.27703429929004225
48,0.31879939832020054,0.41886906146255043,0.4889826360348047,0.27713910366772654
49,0.31794779059138634,0.4186912292626663,0.48914209392321856,0.27635160634019
50,0.3164916474427412,0.41887773855118626,0.489173094900481,0.2766820829621917
51,0.3012649847687,0.4184648360959506,0.48926609124452825,0.2761705269035152
52,0.2875919588159795,0.41967185253528605,0.48945763165855816,0.2761791289239984
53,0.2796692812778934,0.4198411327410764,0.4894214088778329,0.2759881670608193
54,0.2786419378130049,0.42051588623306735,0.4897212392519094,0.27598423620381773
55,0.27847126222505914,0.420645354282765,0.4897978427998565,0.27612951817799314
56,0.27392269012810483,0.4203366855459306,0.4898854805106695,0.2756733184073388
57,0.2732693035285335,0.4205705887849841,0.4899806972008186,0.2757506786735353
58,0.2724101198621519,0.42077117044434875,0.49002090877194115,0.27561077198828743
59,0.27269786456055944,0.42104483617395544,0.49024689018803896,0.27512960104717366
60,0.2591394311386199,0.4210051235061648,0.4901680886917891,0.2754249320306096
61,0.25949965302943184,0.4209614985398592,0.4901090077965137,0.27567105793377666
62,0.2547427280270637,0.4213279043934972,0.4902864957074392,0.27568827734215645
63,0.2564649761977729,0.4213553591609581,0.4903161526172485,0.2756506998587206
64,0.2517159962913899,0.42109906965501886,0.49020015280229384,0.2753904840619769
65,0.2545364234802145,0.42125539436662596,0.49031240948673493,0.27540346777780955
66,0.25541807047359427,0.4212557981001447,0.49025932343199824,0.27527496831263204
67,0.2594277480659716,0.4208150057611092,0.4898903083468368,0.27541263130887184
68,0.2590177221301043,0.4199171439333346,0.48965969765917305,0.2746432423749012
69,0.26007049417790684,0.4200898079215823,0.48970681904821267,0.2745925463032903
70,0.25834540748694024,0.42024039181818135,0.48977276954444227,0.2745660922935252
71,0.25659775794608936,0.42033631040762093,0.4898668209006526,0.27434525625671285
72,0.2572372689745337,0.42082227798728244,0.49007102701510696,0.2747370780929918
73,0.25917920303020353,0.42093504337586596,0.4901422008969824,0.2743951904128409
74,0.2566225076668841,0.4215160607532944,0.49032521090061404,0.2750438664497641
75,0.255783558916595,0.42129783837250717,0.49036013692487374,0.2748246767355268
76,0.24121624806089415,0.42138479072690843,0.49008291449498714,0.2751311792835415
77,0.24353019274806428,0.4243782575177237,0.49002519928665667,0.27542452479608137
78,0.2452160644559588,0.42426228027046964,0.48987397517936254,0.2757725023619286
79,0.24413218536173903,0.42399330685583847,0.48985337515802324,0.275631700038554
80,0.24405910789084945,0.4240233669938454,0.4901092105633797,0.27550476502461063
81,0.2421539899061297,0.42469467590030285,0.49015262670498244,0.2759750186953519
82,0.2431124946510823,0.4248377985842164,0.49021198262350196,0.27602748968520185
83,0.24088189884645983,0.4246882994104103,0.4902016889974231,0.2758344194456982
84,0.23961936914432744,0.4248625313241747,0.49027119977799727,0.2760025108516296
85,0.2409582609393322,0.4248843894184354,0.4903148470102889,0.27603130855886004
86,0.2387654006783407,0.42493201426732385,0.4903351242909736,0.27587717948143814
87,0.24133472862119382,0.4248436583745641,0.4903108859209603,0.27583927297345545
88,0.23473016589713414,0.4249950061048319,0.49043220743202587,0.2758723509456693
89,0.23835989055150492,0.42487047230066677,0.490302130685415,0.2759052410123269
90,0.2364095609580356,0.42485185124294195,0.49017910208609167,0.2758186469348259
91,0.22708523016246512,0.42516789756956397,0.49014386162380996,0.27609457288342654
92,0.2298470426251697,0.4253479085688919,0.490052719474565,0.27610838329998644
93,0.22841212630288985,0.425228891190056,0.4899420634676572,0.2760476559712305
94,0.2281320841378785,0.425326105332377,0.4900352565868471,0.2761386973365612
95,0.22801277038067358,0.4254102524454571,0.49011313804865003,0.27618210895763673
96,0.22714670918385843,0.42590676595623,0.49036129901393144,0.2762301705415739
97,0.2284082269169442,0.4259904530185959,0.49038737778169617,0.2761705306618753
98,0.22715593142857898,0.42576353668109573,0.4903468035577478,0.27590077148621583
99,0.22660369545197678,0.42575237244854536,0.490403616976816,0.2757433529648956
100,0.22570332357212214,0.4255099920184421,0.4903327394549595,0.2754417489048735
101,0.22537490210436392,0.42522209572596326,0.4903128547509327,0.27540264600086134
102,0.22562184131447802,0.42531889155819363,0.49036340560492964,0.2752360115326232
103,0.22530694183519598,0.4254872173245192,0.49041115512400424,0.27537131834219236
104,0.2253746613890138,0.42513193370227753,0.49029467530865223,0.2753438694713143
105,0.2242467059876912,0.4249787176683112,0.49027512639290566,0.27531039583981304
