Time(Iteration),EpsilonGreedyLinearBandit,LinUCB,LinTS
0,0.49432208319348214,0.6752877379467099,0.6752877379467099
1,1.1036151236548661,1.153542829978059,1.153542829978059
2,1.6888625316778245,1.743996719075767,1.743996719075767
3,2.1598366321289424,2.1863541371106723,2.1863541371106723
4,2.3783140760642407,2.81351488407834,2.81351488407834
5,2.7541605789252577,3.1583198494762366,3.1583198494762366
6,3.0156696568559394,3.8344367435929323,3.8344367435929323
7,3.4600840303987135,4.615767799957023,4.615767799957023
8,3.847928114674847,5.058561903457667,5.058561903457667
9,4.130588888366512,5.772296481380499,5.772296481380499
10,4.610468446160314,5.931896212009276,5.832826836002058
11,4.798056011337829,6.0357969325954,5.90251164904748
12,5.107701729652429,6.1135014240187635,5.914314387037618
13,5.372084868124666,6.153544584445853,5.929574422922511
14,5.590740397355947,6.160387414862911,5.937882556149899
15,5.83622352588902,6.174049082345546,5.945429672196903
16,6.199577402514564,6.182598308865855,5.952976788243909
17,6.551747237355563,6.200212573549168,5.960523904290914
18,6.708168611541863,6.202343147570547,5.968071020337919
19,7.030761186185993,6.204473721591927,5.975618136384925
20,7.192167963923554,6.206337366789313,5.983165252431929
21,7.372716686398517,6.2199312533343925,5.990712368478935
22,7.753115942492376,6.221794898531779,5.99825948452594
23,7.887578125517392,6.223658543729165,6.005806600572945
24,8.180022097769404,6.2255221889265515,6.01335371661995
25,8.292956315424025,6.227385834123938,6.020900832666955
26,8.653494772310413,6.229516408145317,6.028447948713961
27,9.119504309667583,6.231646982166697,6.035995064760966
28,9.196307262753297,6.246850253118081,6.043542180807971
29,9.455271297192878,6.273391914926088,6.051089296854976
30,9.61479645063828,6.280291768354974,6.058636412901981
31,9.84396335496755,6.287191621783861,6.0661835289489865
32,10.169235595563688,6.294091475212747,6.073730644995992
33,10.239513654310151,6.320633137020754,6.081277761042997
34,10.354656371952087,6.32753299044964,6.088824877090002
35,10.60576164571013,6.334432843878527,6.096371993137007
36,10.719754755807308,6.345361527238915,6.103919109184012
37,10.831773211354149,6.354506978305106,6.111466225231018
38,10.94304995022068,6.3614068317339925,6.1190133412780225
39,11.168602663518854,6.36830668516288,6.126560457325028
40,11.189469125903901,6.375206538591766,6.134107573372033
