Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9433000520594907
1,0.9099359591681612
2,0.9017628467727276
3,0.8833986503276593
4,0.8790488496805274
5,0.8304532448736112
6,0.8248482869525848
7,0.7794751793518823
8,0.7704373197052238
9,0.709995652775388
