Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9293354984654115
1,0.8840712924580421
2,0.8670484132119058
3,0.8109086494699118
4,0.7825263828064568
5,0.7393907672275116
6,0.7333645605708168
7,0.7303719524919436
8,0.6983166503824974
9,0.6663397082640815
