Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.441390240074267,0.45206390448661116
1,0.8259894697942883,0.7929936592175022
2,1.146129735984563,1.0432756168457316
3,1.466194193678474,1.4077969738043505
4,1.8032722028654313,1.6587629396878778
5,2.0855789939507408,1.9862651420444837
6,2.3534962750243764,2.2026379054478893
7,2.5937871436571616,2.485840701294162
8,2.7841618333075293,2.728950174083415
9,3.018152081694907,2.962579765854005
10,3.1596031034834633,3.2821296021768256
11,3.3988872812692734,3.476601591810965
12,3.532744278054124,3.7115055779549406
13,3.7822044778270127,3.96169497700893
14,3.9573239731385015,4.121921533961621
15,4.257949672412851,4.331845751417425
16,4.497899491317499,4.62893580686388
17,4.815425602576367,4.867393992738422
18,4.9403007704698725,5.073392685659202
19,5.16019002339686,5.240951081080637
20,5.390873473437341,5.33560946157673
21,5.699394985160347,5.499473776016768
22,5.914207700566442,5.82011162318683
23,6.214257193269559,6.0209030068538105
24,6.45269093934656,6.129870128182136
25,6.694430284495295,6.3082297425048
26,6.99414143145727,6.6311280852239465
27,7.216762519117007,6.742132712176053
28,7.379402966931771,6.957951593864128
29,7.632153514100059,7.074484150348708
30,7.7842285726904565,7.266292738072596
31,7.914934737764575,7.416421579199207
32,8.024098248138031,7.769620101680346
33,8.251167592106492,7.943568161572948
34,8.346149740521271,8.030116425592057
35,8.503995449822067,8.124274093236622
36,8.64019795953056,8.257073804185861
37,8.792201112178368,8.30787236283367
38,8.943012668439797,8.481817202221972
39,9.08005572944058,8.550799776784865
40,9.202542582524256,8.71396783600943
41,9.409876439029865,8.822472074283798
42,9.651406819830388,8.882890981486684
43,9.770166199734751,9.003481902307062
44,9.915485922832323,9.114080697181446
45,10.025517002709197,9.153941784879533
46,10.234003455775419,9.254757065627611
47,10.407068990461896,9.303967302780375
48,10.619125618049484,9.406611448480763
49,10.846770275326673,9.555384115950815
50,11.1429656651079,9.715270918146805
51,11.358981800764713,9.755132005844894
52,11.533209194322954,9.897679097232139
53,11.72075065678074,10.054879953108578
54,11.848844831955198,10.281306984796727
55,11.932889509420255,10.513884668708997
56,12.084747484163112,10.637283376466987
57,12.28978885275836,10.72608712115269
58,12.466639296781237,10.837806251341878
59,12.564176958684884,11.026682907998742
60,12.744279848747286,11.089025715814952
61,12.883759620585497,11.26529198941545
62,13.100107503280338,11.416020536504892
63,13.218049116024801,11.515326664553623
64,13.402926519771546,11.568131907083082
65,13.627325861893244,11.635595365559714
66,13.781683652761064,11.774894740205625
67,13.865728330226124,11.896879015486148
68,14.056217841514421,12.030420504716497
69,14.152886262458257,12.067459410547531
70,14.270879939278881,12.153515790342892
71,14.42497243952862,12.25296459172704
72,14.52939281184383,12.391262963948133
73,14.659661261064315,12.503048288667165
74,14.764962767554346,12.691764541789532
75,14.901050601838392,12.787529786926505
76,15.002758194738444,12.88307614031855
77,15.119353575985404,12.949851228987225
78,15.2771385003518,13.02244792098323
79,15.411998608946277,13.142472358381648
80,15.582855596981725,13.401564060698007
81,15.691368768403166,13.505039517588951
82,15.862840123741794,13.555815528210676
83,16.00534050876355,13.72179922200668
84,16.190121447481886,13.732405981009137
85,16.35707975161153,13.826158309919697
86,16.517706978044973,13.88175379390972
87,16.664221145336214,13.968215054755301
88,16.80585997082896,14.07598405233566
89,16.99640050850962,14.200471219801651
90,17.118989162882038,14.28161745150538
91,17.31268306132643,14.374721956080833
92,17.489024758624538,14.554164820298903
93,17.694417031896954,14.609667286286733
