Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta,LinTSTheta
0,0.9740847144188365,0.9338976791043179,0.9338976791043179
1,0.9525313146183679,0.9073695832356385,0.9073695832356385
2,0.8697482302572744,0.8660342133794146,0.8660342133794146
3,0.8141270697240742,0.8185846473985807,0.8185846473985807
4,0.7961604245444892,0.8166586371108522,0.8166586371108522
5,0.7820191737639639,0.7332657686467436,0.7332657686467436
6,0.7445305743711954,0.6638528091126158,0.6638528091126158
7,0.704603684185155,0.6350474702145809,0.6350474702145809
8,0.6421691672829196,0.625467360479411,0.625467360479411
9,0.6323218073187364,0.5989681757483429,0.5989681757483429
10,0.6157866760632815,0.5273133410028745,0.5809839696078993
11,0.5616875036998616,0.5055255373666965,0.5601110959612596
12,0.5297958804598698,0.5011997638948561,0.5576699024834002
13,0.5289304521957626,0.4983921043079029,0.5400071280756727
14,0.5284244511250088,0.49616698559892647,0.5205631759619664
15,0.5291015349954685,0.5028203291424256,0.5249913705003896
16,0.48791240622679205,0.5016669213162273,0.5249313558496658
17,0.46566525355171107,0.49898190892820066,0.5230047996744636
18,0.4444543380398839,0.5015938543011101,0.5242204124382667
19,0.4096611475279964,0.5019546255545827,0.5268476392128074
20,0.3975175382749272,0.503537092093066,0.5279623319362067
21,0.4093644025788662,0.5060675434720583,0.5298148998557225
22,0.4172016707023845,0.507442202485881,0.5322669922728115
23,0.41975381512422877,0.5058343754116119,0.5027736783811592
24,0.4103374921405509,0.5064361357078727,0.50552453016023
25,0.41105113103640606,0.5049088914426165,0.5068173375087184
26,0.4056239112494028,0.5046502612661068,0.5077713174619529
27,0.40812850566468295,0.5052049793420531,0.5062771111271849
28,0.4042023382455803,0.5049241680214349,0.4983887871098901
29,0.38821997211253845,0.5049892568177049,0.4980324623936049
30,0.38024081165502377,0.5045813147958368,0.49660216929135226
31,0.36970341927650485,0.5036264304716959,0.4956194286653714
32,0.3666868707276077,0.5023991162029595,0.492270941432436
33,0.36877851400257744,0.5010256625781313,0.4976229209601625
34,0.37084454964210656,0.5014471682136208,0.49836560189518436
35,0.34487558108581134,0.5016069981155468,0.4966091168725317
36,0.344608695177774,0.5029901734082362,0.4957134970876103
37,0.3462658602039561,0.5021154826022414,0.49574776794741104
38,0.3412533390605267,0.5012292115536343,0.49491725050477947
39,0.3434288767838082,0.500373353270054,0.4954420354256096
40,0.3310731874156663,0.49881671737790007,0.49224735559573646
41,0.34044806095166547,0.49933576768282084,0.49198793391546775
42,0.34406930019601634,0.5000664010089805,0.48967475576537256
43,0.34128335676241384,0.49951229755161153,0.4879452823556316
44,0.3415669261215081,0.49973758222466735,0.48468481515037676
45,0.34143076276623063,0.49979536837716576,0.4840654757143444
46,0.345493864428135,0.49897736388097147,0.4827669600134087
47,0.34408015540343906,0.4993101089464725,0.4853175969346985
48,0.3377706524870736,0.49898295261466846,0.4842501058877657
49,0.31935814601763346,0.49847272776097595,0.4826573555797836
50,0.31848870116008393,0.49878143454327023,0.4788746770160758
51,0.3159097645846128,0.4991419831413911,0.4800992474558794
52,0.31924254111688644,0.49858880078176215,0.478904066407551
53,0.32059218433849,0.498502395414181,0.47177542554853646
54,0.3218178039195657,0.49775011809301717,0.47094438259814597
55,0.3172131392134122,0.4986829989556236,0.47196807783053113
56,0.31780387335863713,0.49923101551149784,0.4671947242531675
57,0.3105071651427319,0.4992811770439647,0.4669472832348986
58,0.3034311917013888,0.4989802248037365,0.4649961383863704
59,0.30295103877493645,0.4988643600097699,0.464475692299802
60,0.3023362364461968,0.49888939787309805,0.4638832048017877
61,0.2855018478802964,0.49939012730640664,0.4650514722379636
