Time(Iteration),EpsilonGreedyLinearBandit,LinUCB
0,0.6852734045126307,0.6542370272237278
1,1.1348254378350504,1.2317349307355074
2,1.6804699742146412,1.7869456299661295
3,2.2023363098600437,2.4274869786089943
4,2.591574008692469,3.2228438718839882
5,3.0404102939902886,3.9009925493725204
6,3.4628090026066425,4.4404011994661285
7,3.7997481491565557,5.128882043062693
8,4.155983039925803,5.67801817665662
9,4.667734070019774,6.262401742812284
10,4.9124429054751415,6.375616308946627
11,5.104203034729895,6.4496921144628985
12,5.415316853748852,6.5164125569910185
13,5.545263624282141,6.5831329995191386
14,5.936486037703581,6.649853442047258
15,6.229151701533022,6.716573884575378
16,6.451167506934586,6.783294327103498
17,6.644077195011549,6.850014769631618
18,6.885743078278016,6.916735212159738
19,7.234067224028689,6.983455654687857
20,7.44077494206221,7.050176097215977
21,7.583498841944009,7.083751614433615
22,7.954389010980108,7.117327131651253
23,8.16830267361011,7.1509026488688905
24,8.314582029111273,7.184478166086528
25,8.414279050039962,7.2180536833041655
26,8.776132340513646,7.251629200521803
27,8.879179421399732,7.2852047177394414
28,9.094884715373984,7.318780234957079
29,9.238374203434043,7.3523557521747165
30,9.627906064221717,7.385931269392354
31,10.04769481237891,7.4195067866099915
32,10.183698670068143,7.45308230382763
33,10.713692931990176,7.4866578210452674
34,10.884166420303643,7.520233338262905
35,10.95387739791514,7.5538088554805425
36,11.046760958056772,7.58738437269818
37,11.269801915410556,7.620959889915818
38,11.454118809300171,7.654535407133456
39,11.681600014723776,7.6881109243510934
40,11.900516456676492,7.721686441568731
41,12.206203832758575,7.7552619587863685
42,12.229823476522167,7.788837476004007
43,12.39131616552802,7.822412993221644
44,12.736051153780545,7.855988510439282
45,12.789537345984678,7.889564027656919
46,12.892001895931998,7.923139544874557
47,13.007790603661482,7.956715062092195
48,13.242120431787043,7.990290579309833
49,13.368692594239988,8.02386609652747
50,13.637018643255342,8.057441613745109
51,13.754490684241244,8.091017130962745
52,14.01891438013856,8.124592648180384
53,14.169678724893535,8.15816816539802
54,14.348847146936123,8.191743682615659
55,14.694022777592556,8.225319199833297
56,14.794612674013198,8.258894717050934
57,14.995525711683033,8.292470234268572
58,15.066575640862093,8.326045751486209
59,15.27884973635154,8.359621268703847
60,15.491623609107673,8.393196785921486
61,15.56107589640456,8.426772303139122
62,15.597045263396756,8.46034782035676
63,15.642679240648448,8.493923337574397
64,15.916149492806156,8.527498854792036
65,16.039542919457794,8.561074372009674
66,16.278390271362195,8.59464988922731
67,16.373964726204342,8.62822540644495
68,16.46216184676033,8.661800923662586
69,16.58526569034774,8.695376440880224
70,16.6790334993852,8.728951958097863
71,17.08228570308178,8.7625274753155
72,17.10294599637958,8.796102992533138
73,17.219399739239368,8.829678509750774
74,17.45194019800576,8.863254026968413
75,17.630910706409903,8.896829544186051
76,17.72340425249697,8.930405061403688
77,17.986085729068414,8.963980578621326
78,18.027339441054245,8.997556095838963
79,18.226801971978023,9.031131613056601
80,18.453991622327013,9.06470713027424
81,18.545361871502816,9.098282647491876
82,18.729812208125672,9.131858164709515
83,18.853713126841264,9.165433681927151
84,18.92251460706503,9.19900919914479
85,18.996334819526773,9.232584716362428
86,19.0479197036313,9.266160233580065
87,19.192640124855288,9.299735750797703
88,19.32326783329882,9.33331126801534
89,19.33137661997417,9.366886785232978
90,19.432613850038788,9.400462302450617
91,19.786223642588222,9.434037819668253
92,19.874954057039623,9.467613336885892
93,20.165792787074373,9.501188854103528
94,20.28195766292647,9.534764371321167
95,20.545076383433145,9.568339888538805
96,20.655606984134522,9.601915405756442
97,20.728214462928555,9.63549092297408
98,20.755998853189716,9.669066440191717
99,20.86745409402133,9.702641957409355
100,20.875562880696677,9.736217474626994
101,20.963615407861738,9.76979299184463
102,21.20357906535186,9.803368509062269
103,21.211687852027207,9.836944026279905
104,21.39306852302243,9.870519543497544
105,21.412178577924486,9.904095060715182
106,21.520373285158634,9.937670577932819
107,21.61177868065761,9.971246095150457
108,21.673335316990645,10.004821612368094
109,21.849233200857377,10.038397129585732
110,22.184621957046048,10.07197264680337
111,22.25960038012824,10.105548164021007
112,22.413304589228577,10.139123681238646
113,22.447279113916846,10.172699198456282
114,22.629739626367474,10.20627471567392
115,22.723435522798336,10.239850232891559
116,22.922878711250966,10.273425750109196
117,23.021643832077938,10.307001267326834
118,23.090750773486974,10.34057678454447
119,23.197310766918598,10.37415230176211
120,23.20541955359395,10.407727818979748
121,23.231408669482317,10.441303336197384
122,23.424052420031803,10.474878853415023
123,23.429728309989454,10.50845437063266
124,23.63460579802081,10.542029887850298
125,23.80105747052282,10.575605405067936
126,23.902068794690322,10.609180922285573
127,24.02304972569448,10.642756439503211
128,24.13502824270402,10.676331956720848
129,24.526873955142655,10.709907473938486
130,24.654198930842703,10.743482991156124
131,24.788366521282278,10.777058508373761
132,24.94522773504,10.8106340255914
133,25.040802189882147,10.844209542809036
134,25.17305993387344,10.877785060026675
135,25.338918062340944,10.911360577244313
136,25.427115182896934,10.94493609446195
137,25.435223969572284,10.978511611679588
138,25.574940773181307,11.012087128897225
139,25.602569299096338,11.045662646114863
140,25.73381635125108,11.079238163332501
141,25.774876090870105,11.112813680550138
142,25.971109829502023,11.146389197767776
143,26.118341732716686,11.179964714985413
144,26.259902944062766,11.213540232203052
145,26.327293690766357,11.24711574942069
146,26.380779211402483,11.280691266638327
147,26.528729690446966,11.314266783855965
148,26.6046201635964,11.347842301073602
149,26.686477261202334,11.38141781829124
150,26.69458604787768,11.414993335508878
151,26.723051361296108,11.448568852726515
152,26.818415381479774,11.482144369944153
153,26.997465961988762,11.51571988716179
154,27.166839109752807,11.549295404379428
155,27.32378578345838,11.582870921597067
156,27.39887735892834,11.616446438814704
157,27.470534308800815,11.650021956032342
158,27.603425356725484,11.683597473249979
159,27.902502216616625,11.717172990467617
160,27.954607457921828,11.750748507685255
161,28.258988721659613,11.784324024902892
162,28.352333139873743,11.81789954212053
163,28.36044192654909,11.851475059338167
164,28.4557328228836,11.885050576555805
165,28.6552159740545,11.918626093773444
166,28.80361617311853,11.95220161099108
167,28.982463517289297,11.985777128208719
168,29.125007992099512,12.019352645426356
169,29.284709943494498,12.052928162643994
170,29.29281873016985,12.086503679861632
171,29.478955566577735,12.120079197079269
172,29.54037935041938,12.153654714296907
173,29.651012353243253,12.187230231514544
174,29.700670745996383,12.220805748732182
175,29.761251805249962,12.25438126594982
176,29.769360591925313,12.287956783167457
177,29.830041862036683,12.321532300385096
178,29.83815064871203,12.355107817602732
179,29.85042762854734,12.38868333482037
180,29.984079721129888,12.42225885203801
181,30.202413392894623,12.455834369255646
182,30.254710151397564,12.489409886473284
183,30.547098062476476,12.522985403690921
184,30.642012195494658,12.55656092090856
185,30.82134819386489,12.590136438126198
186,30.982143488173506,12.623711955343834
187,31.152017443075074,12.657287472561473
188,31.16012622975042,12.69086298977911
189,31.16823501642577,12.724438506996748
190,31.176343803101116,12.758014024214386
191,31.28536713755514,12.791589541432023
