Time(Iteration),EpsilonGreedyLinearBandit,LinUCB,LinTS,LinPHE
0,0.7023208504939371,0.6027602755800601,0.6027602755800601,0.6027602755800601
1,1.107407866657685,1.178384744259987,1.178384744259987,1.178384744259987
2,1.4682294713724224,1.6540576017129158,1.6540576017129158,1.6540576017129158
3,2.0548033852930896,2.2581714971514373,2.2581714971514373,2.2581714971514373
4,2.4613441406471703,2.7644314069414753,2.7644314069414753,2.7644314069414753
5,2.7846475506020822,3.450463737286129,3.450463737286129,3.450463737286129
6,3.092605998847316,3.9630063848705412,3.9630063848705412,3.9630063848705412
7,3.542450830624078,4.56436599114594,4.56436599114594,4.56436599114594
8,3.9316656370132868,5.138437176229021,5.138437176229021,5.138437176229021
9,4.218834466349733,5.785873596931529,5.785873596931529,5.785873596931529
