Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.3944579388320034,0.3704312524289725
1,0.7646621143726133,0.7226018797039222
2,1.1505460015089235,1.1412999209920336
3,1.6215900104586516,1.3965911941444982
4,2.0653180350120914,1.693065621206344
5,2.482631638709943,2.043867208118397
6,2.818298702607474,2.299203803550232
7,3.1376854115885573,2.6106207066231155
8,3.4491809963866245,2.9452435425095684
9,3.783682997349735,3.1588956925498226
10,4.143463228547627,3.4568570489121186
11,4.418777466151666,3.669219821758292
12,4.78569683200844,3.94050423437342
13,5.172885172206873,4.254888001669772
14,5.468979047686587,4.4977129312126385
15,5.815309930005097,4.755139282136155
16,6.101853237596926,5.091324872301465
17,6.413820954752514,5.315477106523198
18,6.627031625728264,5.567978155788104
19,6.868529734894141,5.81722554747573
20,7.19676612198743,6.0442505441914856
21,7.450262830706677,6.39371330325155
22,7.742879661100227,6.615925873268817
23,8.020158839010831,6.830255650911248
24,8.244434913049783,7.111078517676647
25,8.445583014379853,7.333141186141229
26,8.776196827768434,7.611180881531209
27,9.09782448526654,7.826659463918867
28,9.364912897525548,7.999419088220421
29,9.723743667599035,8.273593984945828
30,10.0429996717742,8.555932989050321
31,10.373503829289794,8.793628737721194
32,10.595937704244156,8.920466174277317
33,10.841902737616032,9.088893746546201
34,11.130183448660995,9.271765881651882
35,11.323268337344253,9.417830207606213
36,11.5344644451943,9.612071933162474
37,11.750882519787961,9.841964956890163
38,12.058685906142605,10.072134608117635
39,12.307216752734835,10.330167554348561
40,12.58042989654533,10.468445420530307
41,12.800656862446214,10.822247959465908
42,12.928615981157009,11.051339687299253
43,13.167397258701959,11.24538976339474
44,13.31377176804489,11.387256329233974
45,13.605478489288066,11.520996993390023
46,13.741379695763575,11.733297469583796
47,13.975194257705956,11.942148286017899
48,14.342654564490516,12.26613516405101
49,14.519292466898296,12.549416027284629
50,14.6966840887977,12.757587892345734
51,14.867945714094185,12.939677182419876
52,15.132563298443824,13.130766358177945
53,15.271356925527105,13.286183161520261
54,15.43384746269895,13.59035168945
55,15.653194566884528,13.823515143383807
56,15.807693068530298,13.975991229635525
57,16.144032668063804,14.181451728873622
58,16.290769368860552,14.340147472980098
59,16.55830978097556,14.592838197954611
60,16.67557786653081,14.911083466445191
61,16.832182206827987,15.078974764874264
62,16.997875618277497,15.287356064919512
63,17.144375443827666,15.443680373497632
64,17.36483679628521,15.68548931852095
65,17.49864581721196,15.96454259857849
66,17.777063175461826,16.162287305629942
67,18.135567540951584,16.370999902495996
68,18.336270837313545,16.50677251384686
69,18.498779497178,16.721899527109347
70,18.7184224155081,16.90243383908585
71,18.85267876867404,17.11370703112177
72,19.031224564851946,17.298718379567223
73,19.25227756446006,17.517470301228165
74,19.525548325006852,17.73666331756472
75,19.660110148379015,17.953175392021375
76,19.870382432737127,18.126838261138715
77,20.009945348650017,18.276736463311057
78,20.204388527532828,18.450672677102496
79,20.37141852635903,18.5824020437468
80,20.593622361446897,18.77490609444523
81,20.8933616350663,19.02964527314612
82,21.144826015791775,19.28966307932888
83,21.257240998894467,19.470153275257147
84,21.553731805681597,19.621902603413545
85,21.75603985911752,19.650479454951252
86,21.87128965827697,19.815066705744712
87,22.034743471898505,20.090549836360218
88,22.240565078315438,20.164141038321173
89,22.45960533591667,20.225580046538063
90,22.561302581613845,20.336106235338733
91,22.750741610319984,20.4302706162679
92,22.87254632054229,20.45995781286618
93,22.94990548693323,20.548077913935973
94,23.14146496373931,20.664813810193372
95,23.2928594459111,20.811159457293584
96,23.452139867323403,20.885707193845683
97,23.625018951195695,21.018482239823523
98,23.702378117586637,21.049449027378166
99,23.79505573622943,21.13131167584978
100,23.88795903822847,21.317290852882998
101,23.98335452497425,21.45086956948628
102,24.279833205625664,21.539414828759142
103,24.438037871809406,21.61203959608807
104,24.625868242430535,21.666063393970923
105,24.857832841995016,21.74563190138173
106,25.05602638508994,21.810973176827403
107,25.363383916838178,21.946921417826804
108,25.647034677109115,21.971152723906986
109,25.72439384350006,22.176434598889905
110,25.837864347864922,22.406321276101547
111,25.969079277899606,22.59684588349846
112,26.09342605334701,22.627812671053103
113,26.223946842845454,22.658779458607746
114,26.421628501929376,22.87782114240479
115,26.65142738034541,22.958041829476578
116,26.76497978156189,23.081818400393523
117,26.90736894437193,23.106049706473705
118,27.011198106724105,23.228667081520875
119,27.261225287026804,23.359160344769517
120,27.455093354667447,23.485933508118062
121,27.707517445584955,23.520829437851386
122,27.800420747583996,23.689450508748706
123,27.956580099633356,23.786322196332428
124,28.059986655002422,23.916204096254695
125,28.18780884660336,23.96089541397702
126,28.475500488991884,24.041254525936676
127,28.674978940724003,24.147942352725728
128,28.87006094106797,24.190097928063427
129,29.096869111356188,24.213499992142417
130,29.21920500198213,24.404436948214915
131,29.31549048886733,24.475341150446496
132,29.39284965525827,24.554523773079044
133,29.547665719589656,24.62192424454583
134,29.73102315953617,24.752329970974337
135,29.92073944893779,24.890766768633387
136,30.06682549774892,24.952555635782808
137,30.37766953237851,25.040191015764997
138,30.463643870655044,25.134834613616256
139,30.559039357400827,25.1566759836795
140,30.67950712349724,25.25099973556071
141,30.769160687906812,25.272841105623957
142,30.901445302929886,25.41779273981579
143,30.983926740837717,25.60828501268632
144,31.173060759398474,25.63012638274957
145,31.328783241246803,25.732128978556982
146,31.38736467569091,25.8111015417088
147,31.504836661578103,25.874052881137544
148,31.77197128469295,25.96783386593283
149,31.849330451083894,25.989675235996078
150,31.938984015493464,26.103579105091114
151,31.983443983429815,26.20433251175539
152,32.122256448288184,26.289827164536927
153,32.25876094527823,26.395868469523
154,32.44458477142765,26.60898708129435
155,32.583738541486056,26.798929386756573
156,32.67409073517633,26.855190387652364
157,32.856752725603776,26.87703175771561
158,32.974014921328134,26.91556685255344
159,33.01847488926449,27.091487654745755
160,33.16018033263474,27.249253120634858
