Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta,LinTSTheta,LinPHETheta
0,0.950533886520718,0.914054456235978,0.916678968505144,0.914054456235978
1,0.9190531379848694,0.844328480577689,0.8483602965885764,0.8766820713727315
2,0.880018063521196,0.8066001217134902,0.8138090314388288,0.8224989284945066
3,0.8478924804364985,0.738204298112008,0.7441341110459103,0.8085859244051861
4,0.8144151046761939,0.6673415948664723,0.6718548374424782,0.7638793382448528
5,0.7753105720964866,0.6472741847074105,0.6575239990375066,0.7128701818689764
6,0.7283227446042131,0.6364193148806232,0.7336825909192161,0.6836486399756817
7,0.7215717531341458,0.6183501771291726,0.7544511708331061,0.6331574641202579
8,0.6893017631623317,0.5374382375126631,0.7293438177260091,0.599730572721673
9,0.6884118796599958,0.5348245872967622,0.7787547836279982,0.5022945554559125
10,0.6667662992823387,0.4872091790261669,0.8089574831360077,0.4708549838220616
11,0.6506545591515425,0.46830631989730637,0.7794998014359884,0.45945895224063316
12,0.6278662286206205,0.4651012390204886,0.7628268777958587,0.4480191928318981
13,0.616062056736064,0.4656011366819605,0.7691178298872359,0.4248495460126699
14,0.6170597921200538,0.4683886960963631,0.7741485042380324,0.39285627913148363
15,0.6101225135899032,0.44117615920800146,0.776630259736338,0.3470458565162649
16,0.5915848595944325,0.44113387305087565,0.7780088348895053,0.35095374568635246
17,0.5889095153923011,0.43189349212823525,0.7767188641288791,0.3310805434647583
18,0.5893630437725463,0.43173337153575286,0.7776777012495888,0.30198498227706616
19,0.585876927552097,0.43178877933088416,0.780564526400199,0.2990261860427488
20,0.536051103558686,0.43214786060380994,0.7838739868909947,0.31216740303293705
21,0.5383403613134561,0.43201173704408796,0.7860638715790481,0.28800146793447295
22,0.5138108813556551,0.43199726293426366,0.7832171877246028,0.2818606352029521
23,0.4874995160960749,0.43281451679066574,0.7819162408064275,0.2796877491810766
24,0.4889681543044711,0.4323491959346023,0.7786947347400865,0.26272432203990903
25,0.49028585564029753,0.4323573004560072,0.7814096508680566,0.2523719919733088
26,0.45197596789267835,0.4322438894204933,0.7802444152643606,0.2602597865286109
27,0.4426544946687919,0.4326259147943839,0.7818925230650322,0.2606433259931999
28,0.44472585148616595,0.4327271351650716,0.7812584517916529,0.25724026806715755
29,0.428506340175273,0.4330888482399997,0.7811377662609307,0.25658582796896867
30,0.4209205400995747,0.4328273813454099,0.7812510260175356,0.25865193402273584
31,0.4148643144186576,0.43301416642329,0.7793968801147197,0.26164842941170086
32,0.42462091134369856,0.4341093197549884,0.780582651375206,0.2597210102023773
