Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBTheta
0,0.970311506503131,0.9133788784126449
1,0.9448684199759162,0.8661754461649347
2,0.9183466923598423,0.7828331862582203
3,0.9064599946510796,0.7527369573362579
4,0.8769161075661408,0.7319431621337398
5,0.8231346990044102,0.7025229898928854
6,0.806406873845091,0.6287202528064922
7,0.7917254127171335,0.5757256907335219
8,0.7632793807279216,0.5383194595480386
9,0.7461211609559626,0.5207999203804642
10,0.7350094447747182,0.4626487933776354
11,0.7067966969426325,0.45409095608932704
12,0.6705871355525506,0.44264552591039974
13,0.6410855799616636,0.44516261435619225
14,0.6141185625518086,0.4388812463200707
15,0.5968278698350589,0.4260042129985614
16,0.5758823616623555,0.4280974248048183
17,0.5323830736186416,0.4236537700242561
18,0.5251253738135127,0.4228112375553266
19,0.5162980021772218,0.42394251182919473
20,0.47219151679792304,0.42650182811153636
21,0.47011881029596936,0.4283747998438563
22,0.44594909160846496,0.42650932807032493
23,0.4468581249063323,0.42358895878287156
24,0.4133566427942763,0.42435621421242836
25,0.4169032559729229,0.4249513218171798
26,0.41985376290601983,0.4281855685720644
27,0.41511129694916626,0.42899131781649
28,0.42298132073505545,0.4282776829255176
29,0.4261553282151021,0.4272351286653575
30,0.4115728283526173,0.42688939441872276
31,0.4131405641354675,0.4252515449202968
32,0.4143620229783175,0.4260686375527916
33,0.4029843188208588,0.42680034365912356
34,0.37074012908141046,0.42574710750556355
35,0.3477220979161523,0.42565813895939614
36,0.34657140803577624,0.42568133621269666
37,0.3272972240488325,0.42667159651150965
38,0.3306597253168221,0.4268756008827535
39,0.3295432577669773,0.4265467149252397
40,0.3259604860953963,0.42572125795560156
41,0.3265612107875645,0.4259965574704774
42,0.33211331392619015,0.4268187091763487
43,0.3315506799566608,0.4266723927438406
44,0.3289895032457772,0.42682727775527135
45,0.3159971731600146,0.42574670913036217
46,0.3163863734042466,0.4261411910448326
47,0.3150963352630264,0.42608942507795045
48,0.3146831537777838,0.4262419994433914
49,0.3051994362950861,0.4251887402918957
50,0.3010177547605566,0.42532184040496485
51,0.29874140374155705,0.42593880655679095
52,0.3012626543180868,0.42579746729830725
53,0.30049203069913794,0.4255172482465839
54,0.3026810148782053,0.42529340288643214
55,0.30215789623235484,0.4252969892797501
56,0.30330080888864747,0.42504541597942963
57,0.30409806219330227,0.42506595710172296
58,0.30020134172856483,0.42518929038557973
59,0.3010016572461852,0.42474100624548516
60,0.3043035580310457,0.4249260615502518
61,0.30563892309327184,0.4253883318921212
62,0.3028699689811636,0.4258813940759393
63,0.305266097323208,0.4262567394410383
64,0.30733223788315717,0.42657063903333536
65,0.298035287865692,0.42657275800695327
66,0.2971971329565407,0.4264615561812809
67,0.303010764012105,0.42693818600827277
68,0.30158808827499506,0.42692894012210864
69,0.2938601972096073,0.42679840722493123
70,0.2915136255036725,0.4265199888021972
71,0.28788105616377035,0.42656535979549426
72,0.2855444031613049,0.42684591194575905
73,0.28249702582856945,0.4266893359311048
74,0.2843128365645989,0.4266778899638517
75,0.29058985402519893,0.42680722132316323
76,0.2924189373667217,0.42630212982771243
77,0.28981129116983817,0.42606272555508323
78,0.29031922614779854,0.4262301016314359
79,0.2886268094379353,0.42663942764071355
80,0.2900382912005228,0.42677976270521967
81,0.29039786062627015,0.42683494402016253
82,0.2922765062705873,0.42690526498245285
83,0.29072781689350513,0.426730909235154
84,0.29050740514848394,0.4268112474251969
85,0.29001934870427715,0.426528056925469
86,0.27748930299153735,0.4266965184404648
87,0.27734637077288,0.42667008286781877
88,0.2745451787830772,0.4264430033347601
89,0.27548366373852545,0.4265713355942422
90,0.2653992105011926,0.4269213637174493
91,0.26566478773196345,0.426931639927519
92,0.26496812729852337,0.4267549171892816
93,0.2645134447921277,0.42641277856023513
94,0.265040212890835,0.42618118785174525
95,0.26137980330264277,0.42690026013868476
96,0.26116019206968766,0.4268602973703338
97,0.26147719845026346,0.42705013747703574
98,0.26053731621447407,0.42713848282280803
99,0.2613620559330362,0.4272048411878101
100,0.26077960740794304,0.42712829783213896
101,0.2583650044974907,0.4271161955264107
102,0.2586812675011028,0.4271653826053351
103,0.2609493757536001,0.4270969856388824
104,0.262323226313082,0.42697461002723625
105,0.250154237615751,0.42700302108423455
106,0.2520449555955773,0.4270927196481515
107,0.24913255678905202,0.42705368360345763
108,0.25011299262739867,0.4269559601645394
109,0.25003388124202086,0.4273897916464106
110,0.25067788548531955,0.4272378337810198
111,0.2504551424817599,0.4271698980177575
112,0.24429186157174,0.4272170631552769
113,0.24361392733316373,0.4271044720642127
114,0.24368393459621793,0.427313076148683
115,0.24254844925018895,0.4273535908806455
116,0.2414757602291866,0.4275629301358298
117,0.24234465521299345,0.4276363193748489
118,0.23790003155882405,0.4276386178035424
119,0.23571209244612773,0.42757121715736035
120,0.23962235070109225,0.42717690474338516
121,0.2341655824981237,0.4269766292266152
122,0.23399156703503143,0.42678288262128045
123,0.23408906069150875,0.4269245264589003
124,0.23479568344394974,0.42683440225443003
125,0.23714488420425162,0.42670672774820273
126,0.23668669861109373,0.4271445276535544
127,0.2361690306731985,0.42725561805529183
128,0.2364306701193501,0.4271145572295415
129,0.2350028936586253,0.4270373494821592
130,0.23488641573246388,0.42748424253782896
131,0.2373634421310232,0.4276063100150135
132,0.23758430725177404,0.42760000484332117
133,0.23772282020112234,0.42761351241684276
134,0.2392300682557044,0.4274801136282056
135,0.23957379812901883,0.42752360768137565
136,0.2420804549278624,0.42727805212353054
137,0.24237032718147783,0.4272042482631577
138,0.2274335884821907,0.4270924871342787
139,0.22506889848102402,0.4271870658583309
140,0.22595373505823407,0.4271914275349659
141,0.22469120434702736,0.42729285556772023
142,0.22927288249399788,0.4271707730894757
143,0.23150888362781896,0.42711446247247864
144,0.23103119846755518,0.4270321253719918
145,0.23205558404022947,0.42703858613873596
146,0.22996571934608312,0.42708668466842303
147,0.23210862736963542,0.42700210761115154
148,0.22846147939377226,0.4270359909460287
149,0.2225938614543333,0.4269351020536222
150,0.22223583885125192,0.42690086040696745
151,0.22251062415906167,0.426742707073978
152,0.2238268288380542,0.42650780932047294
153,0.22401791352054157,0.42657230907748656
154,0.22444338229778654,0.42649214701591276
155,0.2255501452555099,0.42661263505017066
156,0.22528750421692992,0.4264677639277762
157,0.22680790460969705,0.4264737552289321
158,0.21676584526513087,0.4265363740375908
159,0.2123854596558658,0.42672069938745655
160,0.20312071299433376,0.4267525223473875
161,0.20206343571948215,0.42652670103011997
162,0.20297696918009475,0.4262974589954511
163,0.20246848638571002,0.42620824097094145
164,0.2026732729086022,0.42615283722857944
165,0.20225182914777587,0.42614478268947636
166,0.19984840011006624,0.4263118820679151
167,0.19827442566573225,0.4263416600495411
168,0.198091627436043,0.4263427493120534
169,0.1984516020150274,0.42626883795186216
170,0.1969554497256461,0.4262152014470595
171,0.19702676765227972,0.4263579516519167
172,0.1977110585050852,0.4263490046931798
173,0.19774715280950184,0.42632676418561666
174,0.1989843887913144,0.4263083384556629
175,0.19871278948943566,0.42622654698325835
176,0.19699993358270984,0.42643694401360016
177,0.196488289197465,0.42653701585517967
178,0.1974535230210431,0.42649788595568994
179,0.19916789263096665,0.42645189880503664
180,0.19879488534987047,0.4263548827272869
181,0.1975517018987261,0.4263681972443106
182,0.19386953105353255,0.42628412171402463
183,0.19023376949684137,0.4263114562075564
184,0.19015071313960769,0.42647689169588743
185,0.19083055663958293,0.42656705830500063
186,0.1891181131284802,0.4264869789650734
187,0.1886249681759655,0.4263831322424928
188,0.1906238108024033,0.4262254492532754
189,0.19248192037898387,0.4262535953596947
190,0.19150896260052183,0.4261893443230497
191,0.19049460152266012,0.4262984707179539
192,0.18714879469910067,0.4263534291375559
193,0.18502340882049736,0.42636019942643505
194,0.18472368737102254,0.4263240018257882
195,0.18461812612095085,0.42632672604184163
196,0.1867390013598864,0.4264422852525754
197,0.1876528911431559,0.4265502452042463
198,0.18659231471125884,0.4264492676830421
199,0.18768055005867285,0.4264614270754257
