Time(Iteration),UppperConfidenceBound,ThompsonSampling,PHE
0,0.5475475239241886,0.5475475239241886,0.5475475239241886
1,1.1090219893437794,1.1090219893437794,1.1090219893437794
2,1.6156816355044827,1.6156816355044827,1.6156816355044827
3,2.0175567465710307,2.0175567465710307,2.0175567465710307
4,2.573980177422349,2.573980177422349,2.573980177422349
5,3.1040167170848694,3.1040167170848694,3.1040167170848694
6,3.7373056611983513,3.7373056611983513,3.7373056611983513
7,4.27675562487469,4.27675562487469,4.27675562487469
8,4.914624645778602,4.914624645778602,4.914624645778602
9,5.446617568315254,5.446617568315254,5.446617568315254
10,6.163180836908426,6.07134832253485,5.784210203643292
11,6.764126570412422,6.713339550299628,6.125902266943753
12,7.342966432989323,7.34196067479086,6.294097173466187
13,7.650848049208506,7.731466353914492,6.412826661572495
14,7.948928949980282,7.944660221810326,6.578180389416914
15,7.960773098056805,7.960773098056801,6.696909877523223
16,8.020602088381587,7.965041826226752,6.864664240167677
17,8.050653331143293,8.02480869695497,6.946777109764166
18,8.13313911062762,8.107294476439296,7.0584278282903785
19,8.195505448718384,8.179682221863711,7.164416085419999
20,8.195505448718384,8.198835036400483,7.246528955016489
21,8.21705889805519,8.226503776020238,7.328641824612977
22,8.272877074463192,8.226503776020238,7.410754694209466
23,8.272877074463192,8.230772504190188,7.492867563805954
24,8.302051296333614,8.23504123236014,7.574980433402443
25,8.321204110870386,8.23504123236014,7.657093302998932
26,8.35185249224353,8.280003154176425,7.739206172595421
27,8.373405941580337,8.383754433124427,7.821319042191909
28,8.400652266454399,8.472479194409003,7.903431911788398
29,8.404920994624351,8.531906216532336,7.9855447813848865
30,8.421033870870826,8.561621844498848,8.067657650981376
31,8.457483296290047,8.565890572668799,8.149770520577864
32,8.461752024459999,8.582003448915273,8.231883390174353
33,8.520363423386303,8.601156263452044,8.313996259770843
34,8.520363423386303,8.601156263452044,8.39610912936733
35,8.524632151556256,8.605424991621996,8.47822199896382
36,8.528900879726207,8.609693719791947,8.560334868560307
37,8.589892431282708,8.6139624479619,8.642447738156797
38,8.589892431282708,8.6139624479619,8.724560607753286
39,8.589892431282708,8.6139624479619,8.806673477349774
40,8.589892431282708,8.6139624479619,8.888786346946263
41,8.589892431282708,8.6139624479619,8.970899216542751
42,8.617561170902462,8.6139624479619,9.05301208613924
43,8.617561170902462,8.6139624479619,9.13512495573573
44,8.617561170902462,8.6139624479619,9.217237825332218
45,8.617561170902462,8.6139624479619,9.299350694928707
46,8.617561170902462,8.6139624479619,9.381463564525195
47,8.617561170902462,8.6139624479619,9.463576434121684
48,8.617561170902462,8.6139624479619,9.545689303718174
49,8.621829899072413,8.6139624479619,9.627802173314661
50,8.621829899072413,8.6139624479619,9.70991504291115
51,8.621829899072413,8.6139624479619,9.792027912507638
52,8.621829899072413,8.6139624479619,9.874140782104128
53,8.621829899072413,8.61823117613185,9.956253651700617
54,8.621829899072413,8.622499904301801,10.038366521297105
55,8.621829899072413,8.626768632471753,10.120479390893594
56,8.621829899072413,8.631037360641704,10.202592260490082
57,8.688497209736443,8.635306088811657,10.284705130086572
58,8.688497209736443,8.639574816981607,10.366817999683061
59,8.688497209736443,8.643843545151558,10.448930869279549
60,8.688497209736443,8.64811227332151,10.531043738876038
61,8.688497209736443,8.652381001491461,10.613156608472526
62,8.688497209736443,8.656649729661414,10.695269478069015
63,8.688497209736443,8.660918457831364,10.777382347665505
64,8.688497209736443,8.665187186001315,10.859495217261992
65,8.688497209736443,8.669455914171268,10.941608086858482
66,8.688497209736443,8.673724642341218,11.02372095645497
67,8.688497209736443,8.73471619389772,11.105833826051459
68,8.700341357812965,8.73898492206767,11.187946695647948
69,8.700341357812965,8.743253650237623,11.270059565244436
70,8.700341357812965,8.747522378407574,11.352172434840925
71,8.700341357812965,8.825146394327549,11.434285304437413
72,8.700341357812965,8.825146394327549,11.516398174033903
73,8.700341357812965,8.825146394327549,11.598511043630392
74,8.700341357812965,8.825146394327549,11.68062391322688
75,8.700341357812965,8.825146394327549,11.762736782823369
76,8.700341357812965,8.8294151224975,11.844849652419857
77,8.700341357812965,8.8294151224975,11.926962522016346
78,8.700341357812965,8.8294151224975,12.009075391612836
79,8.700341357812965,8.8294151224975,12.091188261209323
80,8.700341357812965,8.8294151224975,12.173301130805813
81,8.700341357812965,8.8294151224975,12.2554140004023
82,8.700341357812965,8.8294151224975,12.33752686999879
83,8.700341357812965,8.8294151224975,12.41963973959528
84,8.700341357812965,8.8294151224975,12.501752609191767
85,8.700341357812965,8.8294151224975,12.583865478788256
86,8.700341357812965,8.8294151224975,12.665978348384744
87,8.700341357812965,8.8294151224975,12.748091217981234
88,8.700341357812965,8.8294151224975,12.830204087577723
89,8.700341357812965,8.8294151224975,12.912316957174216
90,8.700341357812965,8.8294151224975,12.994429826770707
91,8.700341357812965,8.8294151224975,13.076542696367198
92,8.700341357812965,8.8294151224975,13.15865556596369
93,8.700341357812965,8.8294151224975,13.240768435560181
94,8.700341357812965,8.8294151224975,13.322881305156674
95,8.700341357812965,8.8294151224975,13.404994174753165
96,8.700341357812965,8.8294151224975,13.487107044349656
97,8.700341357812965,8.8294151224975,13.569219913946148
98,8.700341357812965,8.8294151224975,13.651332783542639
99,8.700341357812965,8.8294151224975,13.733445653139132
100,8.700341357812965,8.8294151224975,13.815558522735623
101,8.700341357812965,8.8294151224975,13.897671392332114
102,8.700341357812965,8.8294151224975,13.979784261928605
103,8.700341357812965,8.8294151224975,14.061897131525097
104,8.700341357812965,8.8294151224975,14.14401000112159
105,8.700341357812965,8.8294151224975,14.226122870718081
106,8.700341357812965,8.8294151224975,14.308235740314572
107,8.700341357812965,8.8294151224975,14.390348609911063
108,8.700341357812965,8.8294151224975,14.472461479507555
109,8.700341357812965,8.8294151224975,14.554574349104048
110,8.700341357812965,8.8294151224975,14.636687218700539
111,8.700341357812965,8.8294151224975,14.71880008829703
112,8.700341357812965,8.8294151224975,14.800912957893521
113,8.700341357812965,8.8294151224975,14.883025827490012
114,8.700341357812965,8.8294151224975,14.965138697086505
115,8.700341357812965,8.8294151224975,15.047251566682997
116,8.700341357812965,8.8294151224975,15.129364436279488
117,8.700341357812965,8.8294151224975,15.21147730587598
118,8.700341357812965,8.8294151224975,15.29359017547247
119,8.700341357812965,8.8294151224975,15.375703045068963
120,8.700341357812965,8.8294151224975,15.457815914665455
121,8.700341357812965,8.8294151224975,15.539928784261946
122,8.700341357812965,8.8294151224975,15.622041653858437
123,8.700341357812965,8.8294151224975,15.704154523454928
124,8.700341357812965,8.8294151224975,15.786267393051421
125,8.700341357812965,8.8294151224975,15.868380262647912
126,8.700341357812965,8.8294151224975,15.950493132244404
127,8.700341357812965,8.8294151224975,16.032606001840897
128,8.700341357812965,8.8294151224975,16.114718871437386
129,8.700341357812965,8.8294151224975,16.19683174103388
130,8.700341357812965,8.8294151224975,16.27894461063037
131,8.700341357812965,8.8294151224975,16.36105748022686
132,8.700341357812965,8.8294151224975,16.443170349823355
133,8.700341357812965,8.8294151224975,16.525283219419844
134,8.700341357812965,8.8294151224975,16.607396089016337
135,8.700341357812965,8.8294151224975,16.689508958612826
136,8.700341357812965,8.8294151224975,16.77162182820932
137,8.700341357812965,8.8294151224975,16.853734697805812
138,8.700341357812965,8.8294151224975,16.935847567402302
139,8.700341357812965,8.8294151224975,17.017960436998795
140,8.700341357812965,8.8294151224975,17.100073306595284
141,8.700341357812965,8.8294151224975,17.182186176191777
142,8.700341357812965,8.8294151224975,17.26429904578827
143,8.700341357812965,8.8294151224975,17.34641191538476
144,8.700341357812965,8.8294151224975,17.428524784981253
145,8.700341357812965,8.8294151224975,17.510637654577742
146,8.700341357812965,8.8294151224975,17.592750524174235
147,8.700341357812965,8.8294151224975,17.67486339377073
148,8.700341357812965,8.8294151224975,17.756976263367218
