Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
0,0.5165748093554943,0.5437990615835268,0.4305341063779018
1,1.000337422342142,1.0488952407970484,0.7610231139762842
2,1.4165745977655588,1.3847080908446479,1.2912302052435005
3,1.7629838521914738,1.8575000909385988,1.5713368380020252
4,2.0899872782923143,2.249883586447842,2.0313410038707937
5,2.4038605452094504,2.7156132049188475,2.514859696539979
6,2.6117050560230632,3.0085303407485364,2.932422216846658
7,2.8639400560842097,3.321051341496985,3.3668803382646773
8,3.2854901124215794,3.737596143406422,3.833405140911619
9,3.472118501944003,4.189013077249853,4.285946787857474
10,3.759217867886862,4.712461805380867,4.527927119845504
11,3.913203640040263,4.884648294897563,4.703903047714949
12,4.069838867600184,5.150500175066268,4.913796282015838
13,4.265245228616196,5.2941246945548714,5.216068962053798
14,4.503385105533858,5.587292275378569,5.474954526316585
15,4.6835916491184815,6.0515242353262355,5.708589308866568
16,4.961714924709045,6.33850190705462,5.843587442971545
17,5.2266213681475895,6.642955572112749,6.1479013136292
18,5.377461510198211,6.8978432281032385,6.442447431456641
19,5.573576452040215,7.034746435933739,6.698905955302129
20,5.651264225748745,7.246788219496439,6.921976881334624
21,5.8220929519124045,7.603468297280119,7.248483447134637
22,5.9412884183211165,7.968603158302278,7.578602388270873
23,6.1465857796456955,8.335451047394653,7.949245689992249
24,6.507372041175989,8.467132650892363,8.161521475002985
25,6.718018668254073,8.73391344688267,8.347595002997453
26,6.861160040775475,8.982474089706468,8.591177278878908
27,7.256683159067807,9.22499010467251,8.886781204655355
28,7.514035267834639,9.400378143280978,8.986440770974912
29,7.660470979105571,9.601703096252951,9.271053416315459
30,7.724994774358687,9.816013783759345,9.59041792629271
31,7.905343531029717,9.947695387257056,9.772138429048493
32,8.201419587625026,10.143300707070807,9.99469285916528
33,8.373001025330618,10.414829465043677,10.185244300985696
34,8.468141663593208,10.570573381336471,10.462714421739383
35,8.640211799705327,10.89303656962769,10.859366891951007
36,8.704735594958443,11.154222160379556,11.171229739161472
37,8.745485440090489,11.30435828950743,11.44942848329005
38,8.77782246051385,11.48297432994239,11.687443247438386
39,8.870964820342133,11.748949794905435,11.83841864328068
40,8.980617405552277,12.052332484463824,12.097841916423635
41,9.072446181747312,12.214021716573107,12.333849870350612
42,9.099853885946727,12.469786767470534,12.445776900466907
43,9.184596607735042,12.631324923915997,12.76178483059614
44,9.28348799677507,12.919296893696515,13.114866496464842
45,9.289101395719808,13.015177806226712,13.323664985050362
46,9.54092715325724,13.142035518503173,13.61981905060718
47,9.665657330713318,13.310265883879302,13.856268468229299
48,9.830346222761786,13.442296760345267,14.11641303673776
49,10.024096760617496,13.57123397722871,14.328720339911104
50,10.113476573328624,13.709540867348451,14.618487899558243
51,10.174955452764666,13.88133955504974,14.969320803631973
52,10.218558735509507,14.05129762914041,15.232800144443942
53,10.337371817465641,14.204117346162883,15.457767275578178
54,10.51593606267382,14.534079210293703,15.790686864392612
55,10.521549461618557,14.811379456873649,15.998677913407159
56,10.57237384763574,14.992076351453179,16.257472126689642
57,10.578580943971016,15.254031110520373,16.596458302477266
58,10.584194342915753,15.397642931088985,16.946330334608586
59,10.78987226073425,15.542913658131067,17.254764946544498
60,10.821956697792139,15.685899062971036,17.46230343763555
61,10.97146507091044,15.822482400677242,17.636021498703474
62,11.094045335396242,16.029952087844865,17.96841317094016
63,11.246059066144777,16.192325924084752,18.25641156963899
64,11.283231379675216,16.24578527126375,18.50841520851079
65,11.31089661775133,16.344455605515186,18.80618357704839
66,11.39039608402709,16.397914952694183,19.082493126389416
67,11.419286054677269,16.50856333711079,19.372235683248054
68,11.525729019909404,16.787013005507085,19.668945676201727
69,11.68308801902138,16.84047235268608,19.882480259284783
70,11.906942042340622,17.123824389549874,20.084364768090026
71,12.113600745718978,17.2903039229057,20.312451156816596
72,12.318808683506614,17.377381042183316,20.555617578064144
73,12.465688678579555,17.52463017525895,20.861559616436384
74,12.547508852985127,17.60776203163913,21.163468501248804
75,12.588179586316029,17.705177250813637,21.329271677897527
76,12.680385489135002,17.72845382251908,21.542572196375524
77,12.776494715507651,17.921936810698462,21.81039217895029
78,12.963246310779155,17.993528101181063,22.04020767754519
79,13.011285687313437,18.30828421759353,22.24046638578788
80,13.120561111833819,18.41116894713375,22.49346667098787
81,13.164057163228382,18.523073637323854,22.76681912585157
82,13.26436572984368,18.745158229347684,23.0290764966162
83,13.436632314323708,18.788416088432466,23.26978216796497
84,13.606878690838258,18.959597022076302,23.523073670729623
85,13.720337181659966,19.072940953436788,23.7133088098652
86,13.80070051736055,19.190334636669924,23.904169882571132
