Time(Iteration),EpsilonGreedyLinearBandit,LinUCB
0,0.5547175545382541,0.5774991674460717
1,1.033110141918548,1.1590853609848166
2,1.4981896801203047,1.888189453036404
3,2.018496945786903,2.6119682173684313
4,2.384724972054015,3.1157465426368383
5,3.1218996088595077,3.806693763018418
6,3.4122723868320337,4.391416625563728
7,3.7764942000792714,4.949843374358389
8,4.018874912500278,5.579840864544342
9,4.368537320010163,5.97929166993644
10,4.83135871394637,6.236680439825405
11,5.124973654635902,6.419537704961361
12,5.456270062297868,6.503592088792817
13,5.623604322844555,6.578818114076803
14,5.959552817553311,6.6214206522151695
15,6.277441085682419,6.622521931269636
16,6.485414255093794,6.636923777309289
17,6.803474443532847,6.6405587628218665
18,7.009665968360278,6.643092469279978
19,7.308874072364274,6.644193748334445
20,7.577550115296816,6.651630986601548
21,7.780670973581502,6.652732265656015
22,8.078470242743283,6.653833544710482
23,8.177341858283992,6.654934823764949
24,8.475597260187024,6.6560361028194155
25,8.636611243043792,6.657137381873882
26,8.70659213047111,6.658238660928349
27,8.976334778998627,6.659339939982816
28,9.198895995509753,6.660441219037283
29,9.434879493750172,6.66154249809175
30,9.528846938376907,6.662643777146217
31,9.662960909407355,6.663745056200684
32,9.677362755447007,6.664846335255151
33,9.739782951271586,6.6659476143096175
34,9.924176754918001,6.667048893364084
35,10.271729906011688,6.668150172418551
36,10.701304266622634,6.669251451473018
37,10.815763155755853,6.670352730527485
38,11.024416578302397,6.671454009581952
39,11.310807671884183,6.672555288636419
40,11.60986185473153,6.673656567690886
41,11.74615518684142,6.6747578467453526
42,11.889143314774934,6.675859125799819
43,11.892922195184735,6.676960404854286
44,11.984686375502744,6.678061683908753
45,12.46829978219466,6.67916296296322
46,12.469401061249126,6.680264242017687
47,12.603923586859235,6.681365521072154
48,12.87103678680038,6.682466800126621
49,13.336364821837687,6.683568079181088
50,13.461529205302392,6.698332569046093
51,13.52681818195359,6.6994338481005595
52,13.570956298890085,6.700535127155026
53,13.648083247742685,6.701636406209493
54,13.999256469593618,6.70273768526396
55,14.341182595282794,6.703838964318427
56,14.556461302374396,6.704940243372894
57,14.557562581428863,6.706041522427361
58,14.844245238966085,6.707142801481828
59,14.880013459956226,6.708244080536295
60,15.02726563951865,6.7093453595907615
61,15.281600881516251,6.710446638645228
62,15.35489452055106,6.711547917699695
63,15.378608230057736,6.712649196754162
64,15.503841797755712,6.713750475808629
65,15.589227839839364,6.714851754863096
66,15.697145288503844,6.715953033917563
67,15.865000479189504,6.71705431297203
68,15.96681672625771,6.718155592026497
69,16.156798234617934,6.7192568710809635
70,16.300861288759126,6.72035815013543
71,16.480167329288477,6.721459429189897
72,16.711968540823825,6.722560708244364
73,17.001301931025015,6.723661987298831
74,17.22426831433546,6.724763266353298
75,17.386801908121775,6.725864545407765
76,17.49846344648173,6.726965824462232
77,17.59527911627252,6.728067103516699
78,17.596380395326985,6.7291683825711655
79,17.709022315096952,6.730269661625632
80,17.900955120072332,6.731370940680099
81,18.0680727109091,6.732472219734566
82,18.16698474374319,6.733573498789033
83,18.4095569577821,6.7346747778435
84,18.48932837141133,6.735776056897967
85,18.626696730636645,6.736877335952434
86,18.914755673627475,6.7379786150069005
87,18.96686928632812,6.739079894061367
88,19.101814882875306,6.740181173115834
89,19.25578777790582,6.741282452170301
90,19.337853419411154,6.742383731224768
91,19.45010601369059,6.743485010279235
92,19.61706329041876,6.744586289333702
93,19.720001003884853,6.745687568388169
94,19.82761142752896,6.746788847442636
95,20.014121631207807,6.7478901264971025
96,20.08042240776568,6.748991405551569
97,20.081523686820148,6.750092684606036
98,20.268237849721153,6.751193963660503
99,20.344888830478318,6.75229524271497
100,20.47945865443262,6.753396521769437
101,20.84203898801825,6.754497800823904
102,20.896329217143204,6.755599079878371
103,21.030232841222663,6.756700358932838
104,21.301736836345242,6.7578016379873045
105,21.492594773290516,6.758902917041771
106,21.624550040814487,6.760004196096238
107,21.83486301034217,6.761105475150705
108,22.058487762338956,6.762206754205172
109,22.169945376450116,6.763308033259639
110,22.352353416029707,6.764409312314106
111,22.559144171527116,6.765510591368573
112,22.642240088729707,6.76661187042304
113,22.714359382078584,6.7677131494775065
114,22.840111121710667,6.768814428531973
115,22.919075412069425,6.76991570758644
116,23.036884168489948,6.771016986640907
