Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
0,0.4905865653659819,0.3645765357032017,0.4901676646268294
1,0.9024814641056583,0.6976022483372013,0.7254745064020685
2,1.2805432638485734,0.9684782588068893,0.9607813481773075
3,1.5365808803327536,1.3924452323663334,1.1960881899525464
4,1.7859558808533371,1.7043636639053368,1.4313950317277855
5,1.9361711741268053,2.031692961789447,1.666701873503024
6,2.077453614416707,2.3921974265016495,1.902008715278263
7,2.3557288800900755,2.6875329438799462,2.137315557053502
8,2.5249543852736243,3.0138870311950368,2.372622398828741
9,2.736521843586927,3.334357993127965,2.60792924060398
10,2.9487565516796277,3.657232897835466,2.8432360823792187
11,3.2894749484219985,3.8896009134066825,3.0785429241544575
12,3.4618146091021287,4.209587618200595,3.313849765929697
13,3.6416719184414346,4.539762687818645,3.5491566077049357
14,3.8155735587734396,4.736056517594065,3.7844634494801745
15,3.957059268640491,4.9497996655881735,4.019770291255414
16,4.165643278139823,5.224526602475315,4.255077133030652
17,4.383253344254463,5.521786534947525,4.490383974805892
18,4.554557409429423,5.735500441418678,4.72569081658113
19,4.7228769017411985,5.890421299994137,4.960997658356369
20,4.9004533646854345,6.120458561811455,5.196304500131609
21,5.042803441109454,6.349835253380493,5.431611341906847
22,5.212765712355306,6.490131386363491,5.666918183682086
23,5.456776497131047,6.739537345118672,5.902225025457325
24,5.603162030958126,6.945719111574678,6.137531867232564
25,5.700448863613402,7.2068533376508785,6.372838709007803
26,5.940304911370354,7.367873683963028,6.608145550783043
27,6.046594337035971,7.630300441075231,6.843452392558282
28,6.348149550636934,7.827685818109261,7.078759234333522
29,6.502628440051258,7.95563713922941,7.3140660761087615
30,6.613905081179658,8.13429108379891,7.549372917884002
31,6.717303275644545,8.20393077102908,7.784679759659241
32,6.9144957084786824,8.285070064206892,8.01998660143448
33,7.1887720690538215,8.491244689447443,8.25529344320972
34,7.312523005677308,8.671446913745733,8.49060028498496
35,7.4858335279160055,8.903310688404812,8.7259071267602
36,7.600116290218272,9.04248490980204,8.96121396853544
37,7.677122029010564,9.180752977606328,9.196520810310679
38,8.011716027189802,9.296162213939756,9.431827652085918
39,8.107266459632992,9.49059391011551,9.667134493861159
40,8.17297525333439,9.547519240853532,9.902441335636398
41,8.27036586761911,9.656032457292548,10.137748177411638
42,8.382279251831251,9.758670403613568,10.373055019186877
43,8.48573822503677,9.910914049238416,10.608361860962116
44,8.706875630192258,10.046350083548882,10.843668702737357
45,8.81238112503862,10.16461736762513,11.078975544512597
46,8.982526256252061,10.345865145403817,11.314282386287836
47,9.179640850447383,10.415667530519778,11.549589228063075
48,9.21978281601014,10.556567034647802,11.784896069838315
49,9.26372778119313,10.647019156741877,12.020202911613556
50,9.412771117792756,10.833510397393383,12.255509753388795
51,9.613745292045792,10.886158408853607,12.490816595164034
52,9.759412786277784,11.017758228070152,12.726123436939274
53,9.909713165501936,11.078040685532631,12.961430278714511
54,9.957978074887027,11.229111623061337,13.196737120489747
55,10.104341296507458,11.449400925800736,13.43204396226498
56,10.196573163698043,11.535142666816352,13.667350804040217
57,10.270372441466646,11.655993729353446,13.902657645815452
58,10.37590247138905,11.767125827162365,14.137964487590688
59,10.521217274443261,11.822806768971706,14.373271329365924
60,10.598594724799318,11.942864894543957,14.608578171141158
61,10.71736806510612,12.180965721222613,14.843885012916394
62,10.884748220783361,12.281864370457738,15.07919185469163
63,11.085388212503968,12.33049338084042,15.314498696466865
64,11.19800030460249,12.42521009191574,15.5498055382421
65,11.292718552547415,12.578640465679012,15.785112380017335
66,11.477594248164918,12.658666010639012,16.020419221792572
67,11.578346005380054,12.76982682449132,16.255726063567806
68,11.621735016594485,12.945615085357597,16.49103290534304
69,11.746195695172533,12.984601184321406,16.726339747118278
70,11.86534782014851,13.039048080204543,16.96164658889351
71,11.944258130593237,13.134176010523774,17.19695343066875
72,12.078224470717078,13.261367161096711,17.432260272443983
73,12.169242982488587,13.322129363363942,17.667567114219217
74,12.406132747099335,13.413150397794112,17.902873955994455
75,12.571700853571427,13.537935366354768,18.13818079776969
76,12.599128462642037,13.678886311100438,18.373487639544926
