Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.4309804018031228,0.6383620731354941
1,0.8356437077310053,1.1459029391638178
2,1.2686548903958383,1.4094555884420017
3,1.6989990387629557,1.815225700425658
4,2.2304710018148866,2.456343611375093
5,2.616126065544587,2.839743661454369
6,2.901713289669104,3.070487723919835
7,3.174104515813064,3.530897671372041
8,3.5046872898622836,3.960689692470082
9,3.820492581101149,4.169726059913414
10,4.182827863841503,4.43425038794746
11,4.653620228856724,4.695354256151524
12,4.97050347204731,4.874238373841943
13,5.195076647224704,5.0833878101013426
14,5.508581907830482,5.564766396274428
15,5.738038357758469,5.848238139813278
16,6.0576503598313165,6.269677156881475
17,6.379148808776703,6.504093445821562
18,6.624847590885333,6.775080068732102
19,6.9208466400715976,7.023329122020196
20,7.110125841637888,7.207293906801189
21,7.387154606696768,7.441331123134345
22,7.478996316827953,7.671087489823518
23,7.861123765577188,7.856211199302416
24,8.262648044626507,8.10138236512198
25,8.45809596545611,8.260109315516425
26,8.587105391052443,8.478389795374962
27,8.822362785139386,8.735597123663522
28,9.148060476876434,8.883851634983461
29,9.264460512009501,8.936202339411711
30,9.378816137397815,9.113417102175166
31,9.597310437902705,9.311731769713926
32,9.853307574378578,9.467809112288643
33,10.269112585523455,9.543909519392955
34,10.49850238104425,9.569467363146245
35,10.628132562302152,9.626515612578066
36,10.767460855291858,9.723714141078931
37,11.082658485151487,9.97676168973679
38,11.164781683931482,10.359170459744155
39,11.300817854980814,10.521616997462951
40,11.547760233134152,10.743531501902567
41,11.74136149773261,10.935286764668678
42,11.887069143585249,11.084032067500036
43,12.036798312502018,11.109589911253327
44,12.141784300500237,11.156791979679124
45,12.395040211035013,11.411724321777724
46,12.713816372833318,11.558436595719103
47,12.870260046292433,11.699110563446515
48,12.990152890885943,12.009223784644
49,13.119856958439854,12.314981972674907
50,13.467787030490731,12.416096344376594
51,13.868635501372982,12.517112491364975
52,14.006295950167546,12.634166382166908
53,14.033485007514003,12.74238499088073
54,14.150740257156276,12.971382620813895
55,14.564454140412153,13.219419264299693
56,14.765280238729924,13.293595821409976
57,14.902752678092776,13.319153665163267
58,15.17460847148179,13.46785727764988
59,15.216734743501814,13.777542761228881
60,15.31109890671388,14.026721487795934
61,15.46054310402234,14.052279331549224
62,15.561454087793757,14.304944767075089
63,15.906546370579145,14.520147214725691
64,16.10828660698138,14.640902321726864
65,16.150412879001404,14.791176141418907
66,16.413974167292757,15.044124331038645
67,16.526989181406098,15.069682174791936
68,16.81559076274319,15.157174448309657
69,17.022946538635054,15.274228339111591
70,17.15768658996402,15.58971394713482
71,17.234682274209305,15.674356207615332
72,17.36735474250248,15.751812973377316
73,17.559242735617833,15.909710785076442
74,17.771676255914613,15.934204455012614
75,17.950553759849544,16.11922497171519
76,18.10877689074429,16.11922497171519
77,18.15358740312118,16.39174038836471
78,18.311131163269604,16.474043787211947
79,18.338320220616062,16.612248237153786
80,18.46250949247605,16.918755077186468
81,18.644426047558017,17.06552984141951
82,18.922728446341377,17.177836272170886
83,19.11718321942779,17.177836272170886
84,19.194914840125268,17.271261107613846
85,19.271992635765553,17.271261107613846
86,19.385515968210274,17.377481957689344
87,19.57734457422179,17.515256854645628
88,19.60453363156825,17.658452110821344
89,19.676624004687902,17.90247070115043
90,19.879450104649127,18.044490231641326
91,19.964092365129638,18.156474961268465
92,20.105874466538957,18.172885677584716
93,20.360539486017515,18.365175694504778
