Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound,ThompsonSampling,PHE
0,0.5692441029687162,0.42444057571400134,0.37304050418204626,0.37304050418204626,0.37304050418204626
1,0.8991118805713338,0.9182944080536745,0.8706571266357861,0.8706571266357861,0.8706571266357861
2,1.3614113173508087,1.2794500130641597,1.296208568714941,1.296208568714941,1.296208568714941
3,1.6918156308730858,1.5975128048343237,1.8442199481683854,1.8442199481683854,1.8442199481683854
4,2.14486306070119,1.896312474910923,2.415210475854491,2.415210475854491,2.415210475854491
5,2.5051750475648267,2.0513899618942064,2.5916133352753987,2.5916133352753987,2.5916133352753987
6,2.7482574986566353,2.4378720258864717,3.013442507255558,3.013442507255558,3.013442507255558
7,3.001055369375,2.7566570205298158,3.4754115911598156,3.4754115911598156,3.4754115911598156
8,3.243542668093351,3.076134282404306,3.9291809348957427,3.9291809348957427,3.9291809348957427
9,3.562263324934525,3.3140067596649714,4.271735827933751,4.271735827933751,4.271735827933751
10,3.843313118477796,3.6078532984356833,4.8436641010486605,4.8201241510827,4.8436641010486605
11,4.04324059418712,3.7717502791356354,5.392961345233969,5.3845576735010425,5.392961345233969
12,4.203331849307817,4.102325763609093,5.85829634375576,5.806745152217337,5.85829634375576
13,4.5232724175057095,4.405008684756453,6.185170956293216,6.134413204613487,6.185170956293216
14,4.78933133338886,4.622442917950018,6.233092344192338,6.222160843350137,6.233092344192338
15,5.19720870417349,4.865369043965822,6.273410976660938,6.272306219370025,6.273410976660938
16,5.404232209099236,4.940847313586017,6.3194023662230725,6.321670122979608,6.3194023662230725
17,5.679623547603171,5.0940438976336075,6.393649536703197,6.372052576081608,6.393649536703197
18,5.777648778296578,5.29545468798924,6.463269316669711,6.464609533756402,6.43785932629566
19,5.9600286528987105,5.426176497591693,6.546498302155361,6.535566801313161,6.546498302155361
20,6.2855991450559845,5.538700125013752,6.60479369158014,6.580689621471146,6.577022821497865
21,6.3689315479979545,5.813249101809882,6.655544028538479,6.638201765569127,6.655544028538479
22,6.5124878381828095,5.8891821670604525,6.752064412442057,6.664124095030125,6.752064412442057
23,6.685161717656873,5.911117398741516,6.79519918103549,6.778136678286908,6.772953673267159
24,6.813698611829784,6.057186009877545,6.8468656759742,6.7938466939517514,6.808668228678341
25,7.002960549736881,6.31718698563396,6.895368908690297,6.845671349918851,6.875078818739068
26,7.148948700656867,6.437219314910548,6.940303204295136,6.872137297238913,6.931358970328896
27,7.321662814026732,6.637743146895798,7.009171851792074,6.913238280039278,6.958742105675578
28,7.354847576150443,6.700631531326499,7.030742130101947,6.935483787807608,6.960540883889169
29,7.514238074305817,6.810704748878395,7.038822743895291,6.96080340543527,7.026558644337252
30,7.649720169444535,7.056996018145097,7.053491260940514,7.029353662145316,7.038679004366178
31,7.752706247535147,7.102914171335724,7.116535669062328,7.033393408380898,7.054344272366639
32,7.804228369698902,7.342050913463375,7.142154064579179,7.039231932830073,7.117314585250673
33,7.866186089167978,7.496123650108117,7.156745829070196,7.050966648868192,7.141828223476611
34,7.993969632898304,7.712249159983702,7.18939056550005,7.06161379730726,7.141828223476611
35,8.09826801881818,7.820667897235948,7.195520618189197,7.076205561798277,7.151998022401341
36,8.21783339869563,7.911579851242266,7.195520618189197,7.122157753450523,7.156037768636923
37,8.405005081456894,7.9752163232418685,7.266047607301706,7.136024243237392,7.220220568886896
38,8.54142540512434,8.177203636747732,7.281310382619462,7.148160264020651,7.250878323891587
39,8.796475728230217,8.423674923721073,7.292241883461662,7.199454947809565,7.252677102105179
40,8.946217334594756,8.477714937926297,7.303976599499781,7.211189663847684,7.257581589835835
41,9.067273735135391,8.776936254181011,7.315711315537899,7.222924379885802,7.262486077566493
42,9.141032480514642,8.937616668674156,7.325538059089186,7.224723158099394,7.262486077566493
43,9.230633407929824,9.126199076271224,7.336469559931386,7.236348679864273,7.270566691359837
44,9.593152297392534,9.220292130968225,7.349454661455387,7.236348679864273,7.286402679932694
45,9.660162561238652,9.395612712484889,7.389284009178121,7.236348679864273,7.311932481590375
46,9.837401574150656,9.56704976243574,7.389284009178121,7.2610684974263915,7.316836969321033
47,9.919600247940838,9.660923611831757,7.395581505512206,7.269149111219735,7.336747643308307
48,10.10632443611409,9.869398630687826,7.415492179499481,7.269149111219735,7.336747643308307
49,10.117949957878967,9.988756485941172,7.464022075605081,7.269149111219735,7.336747643308307
50,10.3582536239591,10.059043171005843,7.472102689398424,7.2890597852070105,7.344828257101651
51,10.481074310479263,10.331566941060096,7.472102689398424,7.3168306552892854,7.344828257101651
52,10.623173366870997,10.454681582698097,7.472102689398424,7.3168306552892854,7.344828257101651
53,10.760205510229579,10.572933939449776,7.478400185732509,7.32312815162337,7.351125753435736
54,10.93068665529399,10.591971721497686,7.484697682066594,7.329425647957455,7.351125753435736
55,10.937389921238239,10.736999506834621,7.484697682066594,7.329425647957455,7.357423249769821
56,11.074989392578468,10.875407767973249,7.496367951495854,7.329425647957455,7.357423249769821
57,11.109823827753992,11.022731687214348,7.496367951495854,7.329425647957455,7.40595314587542
58,11.289514247252503,11.090767313122738,7.506466430749507,7.329425647957455,7.40595314587542
59,11.368348756830134,11.09256609133633,7.506466430749507,7.329425647957455,7.409992892111004
60,11.382203374717854,11.175120514461424,7.506466430749507,7.329425647957455,7.414032638346586
61,11.384002152931446,11.343509735788398,7.506466430749507,7.329425647957455,7.418072384582169
62,11.541778966950064,11.458978218743857,7.506466430749507,7.329425647957455,7.422112130817752
63,11.649077236614222,11.482670048002795,7.506466430749507,7.329425647957455,7.422112130817752
64,11.758966378100038,11.549022167241237,7.506466430749507,7.340357148799656,7.422112130817752
65,12.062653960597055,11.550820945454827,7.510506176985089,7.340357148799656,7.455861624538518
66,12.117721068054887,11.702122882278754,7.530796266936318,7.340357148799656,7.459901370774101
67,12.158492700415497,11.729451462150028,7.530796266936318,7.363294326507936,7.463941117009684
68,12.240269197642434,11.878285629295865,7.530796266936318,7.363294326507936,7.467980863245266
69,12.31148107987896,11.968047409517313,7.530796266936318,7.363294326507936,7.472020609480849
70,12.391987693561408,12.046892465951373,7.530796266936318,7.363294326507936,7.476060355716432
71,12.480483250342848,12.046892465951373,7.538876880729662,7.373392805761588,7.488180715745358
72,12.599046538509686,12.134143902252713,7.538876880729662,7.373392805761588,7.502318941234593
73,12.612901156397408,12.205682335907298,7.538876880729662,7.373392805761588,7.5063586874701755
74,12.619604422341656,12.35905093845719,7.538876880729662,7.373392805761588,7.5063586874701755
75,12.757359994475118,12.468184148099175,7.538876880729662,7.373392805761588,7.510398433705758
76,12.886162816044802,12.560086439195217,7.538876880729662,7.373392805761588,7.514438179941341
77,12.89286608198905,12.724412430391434,7.538876880729662,7.373392805761588,7.520276704390516
78,12.894664860202642,12.9844514811865,7.538876880729662,7.373392805761588,7.52611522883969
79,13.084331562183877,13.108280976803195,7.538876880729662,7.373392805761588,7.531953753288865
80,13.121912733124987,13.259347749746258,7.538876880729662,7.373392805761588,7.537792277738039
81,13.19764271535863,13.417294084842656,7.538876880729662,7.373392805761588,7.543630802187214
82,13.270908567386101,13.496046232822895,7.538876880729662,7.373392805761588,7.549469326636388
83,13.321237241705294,13.553965698754203,7.538876880729662,7.373392805761588,7.555307851085563
84,13.488380609313513,13.553965698754203,7.538876880729662,7.373392805761588,7.559347597321145
85,13.65831866231691,13.634194399108338,7.558692210561124,7.381473419554932,7.56518612177032
86,13.770587192954682,13.818395013736666,7.558692210561124,7.381473419554932,7.571024646219494
87,13.89713957147679,13.986375403876727,7.5864630806434,7.383272197768524,7.575064392455078
88,13.996268992017127,14.069163257731594,7.5864630806434,7.385070975982115,7.57910413869066
89,13.998067770230719,14.089073931718868,7.5864630806434,7.386869754195708,7.583143884926242
90,13.999866548444311,14.120937960666192,7.5864630806434,7.3886685324093,7.591224498719586
91,14.272848460780784,14.200752819093434,7.5864630806434,7.400403248447418,7.591224498719586
92,14.319320484307505,14.290856331975885,7.5864630806434,7.412137964485536,7.591224498719586
93,14.369648276949667,14.41475356098061,7.5864630806434,7.4139367426991285,7.591224498719586
94,14.514822326338484,14.419658048711266,7.5864630806434,7.423816134706064,7.591224498719586
95,14.633576356813558,14.527551404624191,7.5864630806434,7.425614912919656,7.591224498719586
96,14.7695561670838,14.69317393070899,7.5864630806434,7.427413691133248,7.591224498719586
97,14.852320023501523,14.819899706291176,7.594543694436743,7.429212469346839,7.591224498719586
98,14.890108863353714,15.007307750639844,7.594543694436743,7.4310112475604315,7.591224498719586
99,14.984186790727232,15.04461499848114,7.6046421736903955,7.432810025774023,7.591224498719586
100,15.111187834430831,15.400920130023781,7.6046421736903955,7.434608803987615,7.591224498719586
101,15.258923746864781,15.42385730773206,7.6046421736903955,7.436407582201207,7.591224498719586
102,15.309519348988491,15.507383930173987,7.609546661421052,7.436407582201207,7.591224498719586
103,15.311318127202082,15.507383930173987,7.609546661421052,7.436407582201207,7.591224498719586
104,15.390680105970512,15.604791168288745,7.609546661421052,7.436407582201207,7.591224498719586
105,15.431026676470115,15.71765324550445,7.609546661421052,7.44448819599455,7.591224498719586
106,15.654966655793999,16.01315485203424,7.609546661421052,7.449392683725208,7.5961289864502435
107,15.765592568975771,16.128435885056547,7.639130417721252,7.449392683725208,7.5961289864502435
108,15.916059258986603,16.22198829053834,7.639130417721252,7.489222031447942,7.635958334172978
109,16.01892762428864,16.34221352153167,7.644034905451909,7.489222031447942,7.635958334172978
110,16.243734236969665,16.346544796007223,7.661095427690249,7.489222031447942,7.663729204255253
111,16.410509329610385,16.509662269989448,7.662894205903841,7.489222031447942,7.6718098180485965
112,16.518240080089164,16.56439323997882,7.6646929841174325,7.489222031447942,7.6718098180485965
113,16.609814733355268,16.693367290739012,7.6646929841174325,7.489222031447942,7.6718098180485965
114,16.6891972649169,16.693367290739012,7.666491762331025,7.489222031447942,7.6718098180485965
115,16.83072191291435,16.693367290739012,7.668290540544616,7.489222031447942,7.6718098180485965
116,16.949126625869972,16.802055159507173,7.678169932551552,7.489222031447942,7.6718098180485965
117,17.1401722202432,16.87723194061312,7.679968710765143,7.489222031447942,7.6718098180485965
118,17.26479372037427,16.997125066164266,7.679968710765143,7.489222031447942,7.6718098180485965
119,17.398381731575395,17.020801556150364,7.679968710765143,7.489222031447942,7.6718098180485965
120,17.40018050978899,17.1466795800325,7.679968710765143,7.489222031447942,7.6718098180485965
121,17.513123540128742,17.202448997440733,7.679968710765143,7.489222031447942,7.6718098180485965
122,17.578283643312012,17.247289062711598,7.679968710765143,7.499320510701594,7.676714305779254
123,17.58990916507689,17.247289062711598,7.679968710765143,7.499320510701594,7.676714305779254
124,17.706028522241237,17.433507534918107,7.679968710765143,7.499320510701594,7.676714305779254
125,17.79452064323562,17.50712599258842,7.679968710765143,7.499320510701594,7.676714305779254
126,17.85098075929688,17.673514454173862,7.703645200751242,7.499320510701594,7.676714305779254
127,17.852779537510475,17.699044255831545,7.703645200751242,7.499320510701594,7.676714305779254
128,18.00147615203023,17.93605677067521,7.703645200751242,7.499320510701594,7.676714305779254
129,18.061898497705222,18.144910754215296,7.703645200751242,7.499320510701594,7.676714305779254
130,18.14540516985205,18.198800360250893,7.703645200751242,7.499320510701594,7.676714305779254
131,18.29997944834607,18.350233596000525,7.703645200751242,7.499320510701594,7.676714305779254
132,18.333563774493417,18.41655225836881,7.703645200751242,7.499320510701594,7.676714305779254
133,18.40929375672706,18.584616869863137,7.703645200751242,7.499320510701594,7.676714305779254
134,18.537775596951374,18.797651138628403,7.703645200751242,7.514582254726342,7.676714305779254
135,18.6832244599686,18.87627420762283,7.711725814544586,7.549070498757199,7.691976049804002
136,18.847507898488743,18.9809694849963,7.711725814544586,7.549070498757199,7.691976049804002
137,18.89406855836493,19.207892868194854,7.711725814544586,7.557151112550542,7.721559806104201
138,18.89586733657852,19.33412174470462,7.711725814544586,7.565231726343886,7.721559806104201
139,19.04831387706695,19.391455690018134,7.711725814544586,7.565231726343886,7.721559806104201
140,19.131028621633458,19.506724763024422,7.711725814544586,7.570136214074543,7.721559806104201
141,19.132827399847052,19.506724763024422,7.711725814544586,7.5750407018052,7.721559806104201
142,19.30705813211442,19.55889852599841,7.721824293798238,7.5750407018052,7.721559806104201
143,19.356719503252062,19.747605626274865,7.73192277305189,7.5750407018052,7.73329452214232
144,19.51902193812308,19.925214042543608,7.742021252305543,7.579945189535858,7.73329452214232
145,19.6360480017714,19.97177470241979,7.751900644312478,7.584849677266514,7.73329452214232
146,19.6800029617406,20.013737210620764,7.751900644312478,7.612058445854157,7.73329452214232
147,19.68180173995419,20.05580941190953,7.751900644312478,7.613857224067749,7.73329452214232
148,19.802293603850423,20.1960762411378,7.751900644312478,7.613857224067749,7.73329452214232
149,19.954736620087907,20.297284555439436,7.751900644312478,7.613857224067749,7.73329452214232
150,19.956535398301497,20.39849286974107,7.751900644312478,7.613857224067749,7.73329452214232
151,20.069996929756375,20.562858045133435,7.751900644312478,7.6219378378610925,7.73329452214232
152,20.116557589632556,20.562858045133435,7.751900644312478,7.6219378378610925,7.73329452214232
153,20.154138760573666,20.562858045133435,7.751900644312478,7.62684232559175,7.73329452214232
154,20.198009740076024,20.574913884807565,7.751900644312478,7.62684232559175,7.73329452214232
155,20.214400282780634,20.711887243451155,7.751900644312478,7.62684232559175,7.73329452214232
156,20.31740737529586,20.816021346112702,7.751900644312478,7.62684232559175,7.73329452214232
157,20.362164258702848,20.914689887331132,7.767162388337226,7.62684232559175,7.738199009872977
158,20.458171107686194,20.914689887331132,7.779218228011355,7.62684232559175,7.743103497603634
159,20.615795629812045,20.946553916278454,7.779218228011355,7.62684232559175,7.743103497603634
160,20.640196178297096,21.068391539441745,7.779218228011355,7.62684232559175,7.743103497603634
161,20.80165795014914,21.249680884296787,7.779218228011355,7.62684232559175,7.743103497603634
162,20.823367402350005,21.291534161806712,7.779218228011355,7.62684232559175,7.743103497603634
