Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
0,0.49503233606130514,0.44580463166399403,0.42544087284072746
1,0.9155157463923731,0.8410376349951996,0.6604879226294522
2,1.294065706887844,1.2692644161749276,0.895534972418177
3,1.6903565347573646,1.523659803929126,1.1305820222069018
4,2.0304127807178483,1.9412192836942108,1.3656290719956266
5,2.471993533303825,2.2107103763183797,1.600676121784351
6,2.8450181633946716,2.4924434243871065,1.8357231715730755
7,3.283628785527513,2.9049678522675566,2.0707702213618
8,3.6874846120004676,3.1715121221841627,2.3058172711505245
9,4.010045282748338,3.559170465367856,2.5408643209392485
10,4.3926064982368995,3.8228324472612605,2.775911370727973
11,4.705566805695521,4.119792295654795,3.0109584205166975
12,4.927784991510941,4.405968268386554,3.246005470305422
13,5.220455518280521,4.753923361153922,3.481052520094147
14,5.558656790572638,4.999642814382891,3.7160995698828723
15,5.862092340319171,5.272710540665377,3.951146619671597
16,6.08356920541006,5.505946467238666,4.186193669460322
17,6.397166154067545,5.776445933035367,4.421240719249047
18,6.716131192539568,6.0797293030445605,4.656287769037773
19,6.975156231112338,6.336295666409449,4.891334818826498
20,7.263829529457323,6.573778864143082,5.126381868615223
21,7.5968718610694435,6.763993323906233,5.361428918403948
22,7.803751149273491,6.991251938390199,5.596475968192673
23,8.019965490270332,7.2469097488519765,5.831523017981398
24,8.254347304918552,7.462194432647378,6.066570067770123
25,8.45931401236528,7.624972985172808,6.301617117558848
26,8.750459982295148,7.783083924678968,6.536664167347571
27,8.955785104228621,8.090715950859304,6.7717112171362945
28,9.196471144013744,8.25231812368067,7.006758266925017
29,9.549754616449079,8.54309348640791,7.24180531671374
30,9.734848697102029,8.79444256442991,7.476852366502463
31,9.91814153576525,9.065805297685069,7.711899416291186
32,10.07401704243381,9.246891198740242,7.946946466079909
33,10.322102788991826,9.365535897169098,8.181993515868632
34,10.62360626833864,9.5790882421104,8.417040565657356
35,10.822139653797116,9.762240299051609,8.652087615446078
36,11.034537441590762,10.057094837021953,8.8871346652348
37,11.178104998539116,10.23289117158321,9.122181715023524
38,11.368854698633768,10.485360653173576,9.357228764812247
39,11.500247369186074,10.744259574927435,9.59227581460097
40,11.773190481488816,10.869505830084737,9.827322864389693
41,11.983377252950403,11.012358180323714,10.062369914178415
42,12.24095671811529,11.219943374796006,10.29741696396714
43,12.398955842905156,11.507665668560087,10.532464013755861
44,12.69307349178818,11.701802376238495,10.767511063544585
45,12.795651989809244,11.939380875134493,11.002558113333308
46,13.036552012376086,12.046818335307433,11.23760516312203
47,13.102106875589905,12.294514058740987,11.472652212910754
48,13.260757061506094,12.382874669706533,11.707699262699476
49,13.396329721137558,12.62296204456748,11.9427463124882
50,13.512281266230044,12.770365910281216,12.177793362276923
51,13.679413868135743,12.858726521246762,12.412840412065645
52,13.87122359776232,13.016314037679217,12.647887461854369
53,13.93677846097614,13.410395360496494,12.882934511643095
54,14.087613566011925,13.60616917392268,13.117981561431822
55,14.160530165162697,13.808110144226267,13.353028611220548
56,14.393768384728471,13.946846809528017,13.588075661009276
57,14.459719056800669,14.153824728788644,13.823122710798003
58,14.703810058684946,14.601119034195914,14.05816976058673
59,14.848018378120614,14.704178335283222,14.293216810375458
60,15.043830353478857,14.911592044452178,14.528263860164184
61,15.117571560398488,15.117439108967158,14.763310909952912
62,15.270246556333404,15.267339349492108,14.99835795974164
63,15.39211797686202,15.414077818570203,15.233405009530367
64,15.531070400391679,15.583773788919578,15.468452059319095
65,15.645253016361234,15.679716645815441,15.70349910910782
66,15.796919932174754,15.831038411420502,15.938546158896548
67,15.907856049765797,15.933445828683045,16.173593208685276
68,15.994306909041928,16.086839857549286,16.408640258474
69,16.20249710157954,16.2115322831227,16.64368730826273
70,16.33640947577004,16.278317717201837,16.878734358051457
71,16.46815382431412,16.503400652318128,17.113781407840186
72,16.541836850404415,16.66964847806688,17.348828457628912
73,16.627291877234367,16.724729840821183,17.583875507417638
74,16.846043135537784,16.829755111758217,17.818922557206367
75,17.092296803808203,16.994154424225528,18.053969606995093
76,17.174432667042897,17.128903290379377,18.289016656783822
77,17.307690889945714,17.225223100391,18.524063706572548
78,17.44714229440707,17.389236552256783,18.759110756361274
79,17.565104538374644,17.501130768393,18.994157806150003
80,17.616382529540868,17.614563481137132,19.22920485593873
81,17.8204630527735,17.719412186359154,19.46425190572746
82,17.911221957233654,17.821861489900922,19.699298955516184
83,18.037999005203933,17.95064707888873,19.93434600530491
84,18.148935383544853,18.03395832203482,20.16939305509364
85,18.19154310362478,18.23433197219567,20.404440104882365
