Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UppperConfidenceBound
78,17.104449979746555,16.487209858698094,22.33793283082355
79,17.293126328007894,16.712606466269442,22.619363195493957
80,17.38588285073698,16.94344173763988,22.900793560164367
81,17.574486650575288,17.034525710780038,23.182223924834773
82,17.648776852166527,17.184264381196325,23.46365428950518
83,17.763785328114782,17.321092516479453,23.74508465417559
84,17.931314443389006,17.4541962374127,24.026515018845995
85,18.021238511885077,17.63859053264406,24.307945383516405
86,18.188026622706914,17.767834050312754,24.58937574818681
87,18.299637425026262,17.946812280132242,24.870806112857217
88,18.47089648526807,18.11333127825608,25.152236477527627
89,18.51195369506305,18.286540205741538,25.433666842198033
90,18.59409395379462,18.479850438790063,25.715097206868432
91,18.80097029135245,18.67242047541359,25.99652757153883
92,18.879860210579416,18.84049084400613,26.27795793620923
93,19.08233347256902,18.932364244572742,26.55938830087963
94,19.123390682363997,19.04289291077727,26.840818665550028
95,19.182716017786685,19.210460154777955,27.122249030220427
96,19.359943543638803,19.313784204012073,27.403679394890826
97,19.53072420107383,19.468454801684604,27.685109759561225
98,19.68267277158396,19.69824223415778,27.966540124231624
99,19.82457814914667,19.801237501095507,28.247970488902023
100,19.916037179390443,19.925145755449375,28.529400853572422
101,19.994741954649083,20.060594627330264,28.81083121824282
102,20.15812929056802,20.196632643798047,29.09226158291322
103,20.21309629900176,20.42648327404145,29.37369194758362
104,20.342510684138272,20.517567247181606,29.65512231225402
105,20.469088389837857,20.664101612809528,29.936552676924418
106,20.563964175963378,20.800893879776563,30.217983041594817
107,20.62716390837104,20.89197785291672,30.499413406265216
108,20.696877916860966,21.116425901376633,30.780843770935615
109,20.8091227084904,21.3480781454694,31.062274135606014
110,20.957672165846862,21.703681036930416,31.343704500276413
111,21.03875416276728,21.852493312806956,31.625134864946812
112,21.143973642968028,22.047096430795115,31.90656522961721
113,21.185030852763003,22.181087424803913,32.187995594287614
114,21.253266867177054,22.309991873491505,32.46942595895801
115,21.306235370769596,22.599558153670262,32.75085632362841
116,21.347292580564574,22.772731755909646,33.03228668829881
117,21.566140368564145,22.95718153277218,33.31371705296921
118,21.691392186607146,23.087329637774197,33.59514741763961
119,21.800292855120002,23.24655034025846,33.87657778231001
120,21.9479571661903,23.40396418611156,34.15800814698041
121,21.989014375985274,23.61661313864801,34.439438511650806
122,22.030071585780252,23.818436143636585,34.720868876321205
123,22.087220373701335,23.894932366859443,35.002299240991604
124,22.264690650783283,24.00466158187856,35.283729605662
125,22.390632017142515,24.081157805101412,35.5651599703324
126,22.544381468224994,24.17164173545982,35.8465903350028
127,22.579548733699276,24.385882900801747,36.1280206996732
128,22.676904237419997,24.4924921380312,36.4094510643436
129,22.780770791201057,24.648162193985907,36.690881429014
130,22.874614002693612,24.899422067890693,36.9723117936844
131,22.93989428217449,25.10775543039233,37.2537421583548
132,22.97506154764877,25.179447905235058,37.535172523025196
133,23.080910996589566,25.29591975124432,37.816602887695595
134,23.181273626795246,25.450488824268273,38.098033252365994
135,23.216440892269528,25.524531553397047,38.37946361703639
136,23.33268017578243,25.598574282525824,38.66089398170679
137,23.36784744125671,25.757676597544368,38.94232434637719
138,23.50144232643086,25.923485547358894,39.22375471104759
139,23.583932523901932,26.122636453378306,39.50518507571799
140,23.710349857577953,26.302237238088104,39.78661544038839
141,23.862020854480487,26.357163861257142,40.06804580505879
142,23.89718811995477,26.527568306126035,40.349476169729186
143,24.11017867332561,26.59959290517827,40.630906534399585
