Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9562441707895044
1,0.8923139255479269
2,0.8700485109280578
3,0.8049813221516515
4,0.7673299290951937
5,0.7583599836078883
6,0.7569523836226176
7,0.6943260757697122
8,0.6912760294963634
9,0.6273456717293152
