Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
66,10.072480220387522,11.842941609813764
67,10.233991572354517,11.902217179210819
68,10.308010924650473,12.144234523701822
69,10.436904309874594,12.325214163174277
70,10.51488941269545,12.427811295828148
71,10.637662820081815,12.524799720617136
72,10.669038358695481,12.774850825557206
73,10.70649210863564,12.832301412757271
74,10.826737100231641,12.938704757758245
75,10.917899815490882,13.024401690656202
76,11.081559810535127,13.1533179308877
77,11.226963925037209,13.26441163664631
78,11.300819130343113,13.41857002165049
79,11.363168804472409,13.656699253687805
80,11.435029392619846,13.842699107185846
81,11.53690173533857,13.956886499731601
82,11.600533093619596,14.155085388297167
83,11.615405327437207,14.354392561201317
84,11.679180244801975,14.490588576668973
85,11.796657929059291,14.565064973250296
86,11.964321523058857,14.672892232156084
87,12.042786758338288,14.787331173685976
88,12.177089661238254,14.866147751690296
89,12.22375514714508,15.024176246359497
90,12.33714073338655,15.121319446141175
91,12.433885225731611,15.315021639120754
92,12.607736736199751,15.380544919002613
93,12.731599878585845,15.471528662872435
94,12.774781420514527,15.524629573712398
95,12.803991392834396,15.580364093025732
96,12.847791727981576,15.72114166890745
97,13.031960884059089,15.837541859275541
98,13.137813806707744,15.95869694534623
99,13.213707839491523,16.066963821254756
100,13.424050721893199,16.12441440845482
101,13.457023935571337,16.227780080606703
102,13.523626348943187,16.33079274308054
103,13.650832242452093,16.54446833938197
104,13.810744365855296,16.633829256390918
105,13.846748357177166,16.690643022654786
106,13.945142637197673,16.761435010975397
107,13.960014871015286,16.93583397877044
108,14.092733093340101,17.055167798494033
109,14.183609549164752,17.167554227997478
110,14.198481782982364,17.213854083261655
111,14.330608734541764,17.256714307634407
112,14.52247187564629,17.340359936344903
113,14.548723891349685,17.427629910861242
114,14.61550953483776,17.470490135233995
115,14.630381768655372,17.611054884243313
116,14.705627952279196,17.77715430550375
117,14.773275510717971,17.844474153504567
118,14.861461482426236,17.89027943607789
119,15.061299900557382,17.921123057628666
120,15.076172134374994,18.0192506214647
121,15.212891321206513,18.153264386694353
122,15.339465798496292,18.184108008245126
123,15.403216323481871,18.291855377550323
124,15.418088557299484,18.489252285038482
125,15.45752859912282,18.63277394483453
126,15.472400832940433,18.742526472548093
127,15.539339932452128,18.77337009409887
128,15.569125707674974,18.90378173913523
129,15.676207963242565,18.934625360686006
130,15.752233109571005,18.98005934506409
131,15.83463091344341,19.057267222690925
132,15.880559117080008,19.0881108442417
133,15.963234645835428,19.215846435001957
134,16.000353833474197,19.32353567211858
135,16.079407066203107,19.455547031152157
136,16.292674501162132,19.486390652702934
137,16.406173263200266,19.537580592123213
138,16.45343324383996,19.68462055911399
139,16.50997155192659,19.802521655704094
140,16.649289497716765,19.83336527725487
141,16.736026339891357,20.04201313161625
142,16.80171486241743,20.21633840959835
143,16.87051364607555,20.338251972515312
144,16.885385879893164,20.45275908109164
145,17.052304248653847,20.506714011110628
146,17.209681041232038,20.537557632661404
147,17.22455327504965,20.622023103801443
148,17.43971052242563,20.678555495709748
149,17.58934976864795,20.709399117260524
150,17.70316920289318,20.740242738811297
151,17.750828738035953,20.82021871130838
152,17.907759924876043,20.874201043983945
153,17.963298798129706,20.9950776962429
154,18.033072504225945,21.079852156706945
155,18.089777279282035,21.169071185521013
156,18.181049027331206,21.281105143665194
157,18.26370521096225,21.37922267634176
158,18.432538110513832,21.520696471835635
159,18.65628018001019,21.68668340160325
160,18.691855726403837,21.841721213394912
161,18.80074764935026,21.872564834945685
162,18.84516188636149,21.939776739386023
163,18.8600341201791,22.052426641638796
164,18.910461770000573,22.083270263189572
165,18.946865388847346,22.1482955273268
166,19.034872194034445,22.199485466747074
167,19.04974442785206,22.37443120645684
168,19.106835773417075,22.45182560494957
169,19.137637862185723,22.482669226500345
170,19.265905240200766,22.73632073215149
171,19.375671040725162,22.88104271599146
172,19.44469208900004,23.002732850977132
173,19.497130773614018,23.155984082946812
174,19.517055140006654,23.18682770449759
175,19.65342975104945,23.24459032588161
176,19.80030734692017,23.288329607207235
177,19.843738672739804,23.362602178607
178,19.863660370200954,23.37862427147652
179,20.001577921355313,23.44190895274089
180,20.021499618816463,23.457931045610415
181,20.216326511127285,23.579949528719474
182,20.264128662516406,23.721837178419225
183,20.32331763976257,23.798130047590156
184,20.4397384736857,23.840880509450045
185,20.454610707503313,23.934738522756938
186,20.522001355683564,24.07598901022369
187,20.677841511422052,24.092011103093217
188,20.737769644358355,24.16196403487601
189,20.74856542634835,24.242156740272286
190,20.759361208338344,24.33749608650168
191,20.883458618198276,24.41382198343795
192,20.980863541660362,24.461906176648764
193,21.090082200531167,24.539794637704464
194,21.114892595685227,24.66688360446705
195,21.216373970974928,24.740187089493784
196,21.31785534626463,24.809034947343413
197,21.374233883650312,24.934174365177366
198,21.449348653325234,25.01171905743839
199,21.464220887142847,25.06510916563798
200,21.53454293251085,25.159775689256655
201,21.673630078321843,25.205655561622784
202,21.688502312139455,25.32695152427956
203,21.737442359383454,25.354082162540685
204,21.79979203351275,25.370104255410208
205,21.88779883869985,25.386126348279735
206,22.027642758911544,25.402148441149258
207,22.086001311737924,25.480910949565754
208,22.261888968035116,25.49693304243528
209,22.33491550457704,25.53561841779234
210,22.37502119882509,25.73700450016893
211,22.389893432642705,25.773133275491496
212,22.511770456458198,25.833473105780616
213,22.649564385312665,25.93695277292219
214,22.768538066754513,25.968906695100106
215,22.8749959379966,26.027731814611876
216,22.978142264167232,26.09800225317206
217,23.001264721602848,26.113932333317592
218,23.149793277178485,26.129862413463126
219,23.19394127561421,26.14957587425379
220,23.292955067598065,26.2194367933126
221,23.392724409450636,26.235366873458133
222,23.424727007059904,26.251296953603667
223,23.527985130173946,26.322128506027827
224,23.5902395004997,26.380077915167078
225,23.71433653115188,26.530995325784353
226,23.83095760439487,26.705186570916062
227,23.905270757239812,26.79296505165211
228,24.087181150819966,26.83476504839087
229,24.360452215925548,26.90066687413316
230,24.502210043138298,27.082484262114207
231,24.564559717267592,27.115544706051395
232,24.771996904553856,27.223327538433598
233,24.835109586226036,27.28170009384279
234,24.892489739744256,27.304517233248117
235,25.036734916953584,27.391012327546747
236,25.051607150771197,27.416247513852987
237,25.105819779642488,27.47890773789839
238,25.1206920134601,27.553565458653587
239,25.22605992028782,27.61505761407289
240,25.240932154105433,27.69347588204443
241,25.28466823239376,27.82273073714603
242,25.396382288660888,27.95122090928582
243,25.518195516105244,28.188002387252755
244,25.55972681660041,28.29025846115872
245,25.64508276671637,28.45325096748864
246,25.65587854870636,28.514730807125908
247,25.666674330696356,28.530660887271445
248,25.738168390744924,28.63217226894285
249,25.847316639544818,28.74583574066086
250,25.85811242153481,28.761857833530378
251,25.930522815640284,28.802403875333532
252,26.013396657574635,28.88972426315135
253,26.024192439564626,28.959185985157454
254,26.03498822155462,29.050551244947723
255,26.091333763036346,29.09217009545079
256,26.102129545026337,29.137701684210175
257,26.173947125982494,29.288938407954618
258,26.255284193217307,29.342532453377903
259,26.353288015151527,29.441662526820814
260,26.38879526994753,29.54652947259674
